stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
20675,,Carrera 41 No. 44 - 60,10.981342,-74.786233,,0,,
20050,,Carrera 40 No. 43 - 07,10.980727,-74.784815,,0,,
20051,,Carrera 40 No. 40 - 37,10.980393,-74.78266,,0,,
20561,,Carrera 40 No. 38 - 25,10.980025,-74.781447,,0,,
20562,,Carrera 40 No. 36 - 25,10.97969,-74.780415,,0,,
20563,,Carrera 40 No. 35 - 25,10.979358,-74.779583,,0,,
20564,,Carrera 43 No. 35 - 38,10.981448,-74.779293,,0,,
20565,,Carrera 43 No. 36 - 30,10.98163,-74.78013,,0,,
10108,,Carrera 43 No. 39 - 26,10.98196,-74.781695,,0,,
10109,,Carrera 43 No. 43 - 16,10.982552,-74.784433,,0,,
20527,,Centro Comercial Panorama,10.944842,-74.784343,,0,,
20528,,Carrera 6B con Calle 31 Nacional de Chocolate,10.94294,-74.785247,,0,,
20529,,Carrera 6B No. 33 - 76,10.942972,-74.786828,,0,,
11208,,Carrera 6B Con Calle 34C Esq,10.942427,-74.788677,,0,,
20530,,Carrera 6B Con Calle 36B,10.942057,-74.791518,,0,,
20531,,Carrera 6B No. 38B - 02,10.941757,-74.793893,,0,,
11211,,Calle 41 No. 6B - 32,10.94187,-74.795853,,0,,
11212,,Calle 41 No. 7D - 04,10.943802,-74.79617,,0,,
11213,,Carrera 8 No. 40 - 32,10.946245,-74.795742,,0,,
11214,,Carrera 8 con Calle 42B Esq,10.946242,-74.797833,,0,,
20676,,Carrera 8 No. 44 - 34,10.94623,-74.799237,,0,,
11202,,Carrera 8 No. 42 - 127,10.946107,-74.798475,,0,,
11203,,Carrera 8 Con Calle 41 Esq,10.946113,-74.795858,,0,,
11204,,Carrera 8 No. 36B - 125,10.945887,-74.793093,,0,,
11205,,Carrera 8 Con Calle 35A Esq,10.94619,-74.790928,,0,,
20525,,Carrera 8 Con Calle 34,10.946428,-74.788717,,0,,
20526,,Carrera 8 Con Calle 31,10.94677,-74.785825,,0,,
11319,,Carrera 1H Con Calle 45 Esq,10.932732,-74.798927,,0,,
11301,,Carrera 2E No. 44B - 13,10.934835,-74.798927,,0,,
11302,,Carrera 2B No. 42A - 05,10.934503,-74.797133,,0,,
11303,,Carrera 2 Con Calle 39 Esq,10.934873,-74.794397,,0,,
11304,,Carrera 2 Calle 37E - 23,10.934828,-74.792567,,0,,
11315,,Calle 37C Carrera 2,10.93562,-74.790987,,0,,
11306,,Calle 37C Con Carrera 3A,10.937258,-74.791567,,0,,
20572,,Calle 37C No. 3D - 04,10.938568,-74.791708,,0,,
11307,,Carrera 4 Con Calle 36 Esq,10.938947,-74.790488,,0,,
11308,,Carrera 4 Con Calle 34B Esq,10.939295,-74.788622,,0,,
11320,,Carrera 4 Con Calle 31-88,10.939613,-74.786048,,0,,
11310,,Carrera 4 Con Calle 30,10.939838,-74.783297,,0,,
11311,,Carrera 2 Con Calle 30,10.937722,-74.782895,,0,,
11312,,Carrera 2 Con Calle 33A Esq,10.936585,-74.78478,,0,,
11313,,Carrera 2 Con Calle 34 Esq,10.935955,-74.786967,,0,,
11314,,Carrera 2 Con Calle 35A Esq,10.935437,-74.789325,,0,,
11305,,Calle 37C Con Carrera 2 Esq,10.934685,-74.791298,,0,,
11316,,Calle 37C Con Carrera 1H Esq,10.932828,-74.791708,,0,,
20573,,Carrera 1H Con Calle 37F Esq,10.933207,-74.793172,,0,,
11317,,Carrera 1H Con Calle 41B Esq,10.933708,-74.79478,,0,,
11318,,Carrera 1H No. 41B - 236,10.933242,-74.796837,,0,,
16616,,Carrera 1E Con Calle 45 Metrocentro,10.931807,-74.799743,,0,,
16601,,Tv 14 sur Con Calle 45,10.93025,-74.799877,,0,,
