route_id,service_id,trip_id,trip_headsign,shape_id
100,H,100-604,Barranquillita,Shp_B2
100,H,100-613,Barranquillita,Shp_B2
100,H,100-622,Barranquillita,Shp_B2
100,H,100-631,Barranquillita,Shp_B2
100,H,100-640,Barranquillita,Shp_B2
100,H,100-649,Barranquillita,Shp_B2
100,H,100-658,Barranquillita,Shp_B2
100,H,100-707,Barranquillita,Shp_B2
100,D,100-713,Barranquillita,Shp_B2
100,H,100-716,Barranquillita,Shp_B2
100,H,100-725,Barranquillita,Shp_B2
100,D,100-727,Barranquillita,Shp_B2
100,H,100-734,Barranquillita,Shp_B2
100,D,100-741,Barranquillita,Shp_B2
100,H,100-743,Barranquillita,Shp_B2
100,H,100-752,Barranquillita,Shp_B2
100,D,100-755,Barranquillita,Shp_B2
100,H,100-801,Barranquillita,Shp_B2
100,D,100-809,Barranquillita,Shp_B2
100,H,100-810,Barranquillita,Shp_B2
100,H,100-819,Barranquillita,Shp_B2
100,D,100-823,Barranquillita,Shp_B2
100,H,100-828,Barranquillita,Shp_B2
100,H,100-837,Barranquillita,Shp_B2
100,H,100-846,Barranquillita,Shp_B2
100,D,100-851,Barranquillita,Shp_B2
100,H,100-855,Barranquillita,Shp_B2
100,H,100-904,Barranquillita,Shp_B2
100,D,100-905,Barranquillita,Shp_B2
100,H,100-913,Barranquillita,Shp_B2
100,D,100-919,Barranquillita,Shp_B2
100,H,100-922,Barranquillita,Shp_B2
100,H,100-931,Barranquillita,Shp_B2
100,D,100-933,Barranquillita,Shp_B2
100,H,100-940,Barranquillita,Shp_B2
100,D,100-947,Barranquillita,Shp_B2
100,H,100-949,Barranquillita,Shp_B2
100,H,100-958,Barranquillita,Shp_B2
100,D,100-1001,Barranquillita,Shp_B2
100,H,100-1007,Barranquillita,Shp_B2
100,D,100-1015,Barranquillita,Shp_B2
100,H,100-1016,Barranquillita,Shp_B2
100,H,100-1025,Barranquillita,Shp_B2
100,D,100-1029,Barranquillita,Shp_B2
100,H,100-1034,Barranquillita,Shp_B2
100,H,100-1043,Barranquillita,Shp_B2
100,H,100-1052,Barranquillita,Shp_B2
100,D,100-1057,Barranquillita,Shp_B2
100,H,100-1101,Barranquillita,Shp_B2
100,H,100-1110,Barranquillita,Shp_B2
100,D,100-1111,Barranquillita,Shp_B2
100,H,100-1119,Barranquillita,Shp_B2
100,D,100-1125,Barranquillita,Shp_B2
100,H,100-1128,Barranquillita,Shp_B2
100,H,100-1137,Barranquillita,Shp_B2
100,D,100-1139,Barranquillita,Shp_B2
100,H,100-1146,Barranquillita,Shp_B2
100,D,100-1153,Barranquillita,Shp_B2
100,H,100-1155,Barranquillita,Shp_B2
100,H,100-1204,Barranquillita,Shp_B2
100,D,100-1207,Barranquillita,Shp_B2
100,H,100-1213,Barranquillita,Shp_B2
100,D,100-1216,Barranquillita,Shp_B2
100,H,100-1222,Barranquillita,Shp_B2
100,D,100-1225,Barranquillita,Shp_B2
100,H,100-1231,Barranquillita,Shp_B2
100,D,100-1234,Barranquillita,Shp_B2
100,H,100-1240,Barranquillita,Shp_B2
100,D,100-1243,Barranquillita,Shp_B2
100,H,100-1249,Barranquillita,Shp_B2
100,D,100-1252,Barranquillita,Shp_B2
100,H,100-1258,Barranquillita,Shp_B2
100,D,100-1301,Barranquillita,Shp_B2
100,H,100-1307,Barranquillita,Shp_B2
100,D,100-1310,Barranquillita,Shp_B2
100,H,100-1316,Barranquillita,Shp_B2
100,D,100-1319,Barranquillita,Shp_B2
100,H,100-1325,Barranquillita,Shp_B2
100,D,100-1328,Barranquillita,Shp_B2
100,H,100-1334,Barranquillita,Shp_B2
100,D,100-1337,Barranquillita,Shp_B2
100,H,100-1343,Barranquillita,Shp_B2
