trip_id,start_time,end_time,headway_secs
24-0-L-V,04:45:00,23:00:00,480
24-1-L-V,04:45:00,23:00:00,480
25-1-L-V,04:45:00,23:00:00,480
25-0-L-V,04:45:00,23:00:00,480
26-1-L-V,04:48:00,23:00:00,480
26-0-L-V,04:48:00,23:00:00,480
27-1-L-V,04:45:00,22:00:00,480
27-0-L-V,04:45:00,22:00:00,480
28-1-L-V,04:30:00,22:08:00,480
28-0-L-V,04:30:00,22:08:00,480
29-1-L-V,04:15:00,23:15:00,480
29-0-L-V,04:15:00,23:15:00,480
30-1-L-V,04:15:00,23:15:00,480
30-0-L-V,04:15:00,23:15:00,480
31-1-L-V,04:35:00,22:00:00,480
31-0-L-V,04:35:00,22:00:00,480
10-1-L-V,04:45:00,20:02:00,480
10-0-L-V,04:45:00,20:02:00,480
33-1-L-V,05:00:00,22:30:00,480
33-0-L-V,05:00:00,22:30:00,480
11-1-L-V,04:38:00,22:16:00,480
11-0-L-V,04:38:00,22:16:00,480
12-1-L-V,04:15:00,22:10:00,480
12-0-L-V,04:15:00,22:10:00,480
13-1-L-V,04:48:00,23:00:00,480
13-0-L-V,04:48:00,23:00:00,480
14-1-L-V,04:48:00,23:00:00,480
14-0-L-V,04:48:00,23:00:00,480
15-0-L-V,04:40:00,23:00:00,480
15-1-L-V,04:40:00,23:00:00,480
16-1-L-V,04:45:00,23:00:00,480
16-0-L-V,04:45:00,23:00:00,480
17-0-L-V,04:20:00,23:15:00,480
17-1-L-V,04:20:00,23:15:00,480
18-1-L-V,05:00:00,23:00:00,480
18-0-L-V,05:00:00,23:00:00,480
19-1-L-V,05:00:00,22:30:00,480
19-0-L-V,05:00:00,22:30:00,480
1-1-L-V,05:00:00,23:00:00,480
1-0-L-V,05:00:00,23:00:00,480
2-1-L-V,04:30:00,22:10:00,480
2-0-L-V,04:30:00,22:10:00,480
3-1-L-V,04:30:00,22:08:00,480
3-0-L-V,04:30:00,22:08:00,480
4-1-L-V,04:15:00,21:44:00,480
4-0-L-V,04:15:00,21:44:00,480
5-1-L-V,04:40:00,22:30:00,480
5-0-L-V,04:40:00,22:30:00,480
6-1-L-V,04:45:00,22:30:00,480
6-0-L-V,04:45:00,22:30:00,480
7-1-L-V,04:30:00,22:00:00,480
7-0-L-V,04:30:00,22:00:00,480
8-1-L-V,05:25:00,20:30:00,480
8-0-L-V,05:25:00,20:30:00,480
9-1-L-V,05:25:00,20:29:00,480
9-0-L-V,05:25:00,20:29:00,480
20-0-L-V,04:30:00,21:34:00,480
20-1-L-V,04:30:00,21:34:00,480
21-1-L-V,04:45:00,22:00:00,480
21-0-L-V,04:45:00,22:00:00,480
24-0-SAB,04:45:00,22:02:00,480
24-1-SAB,04:45:00,22:02:00,480
25-1-SAB,04:45:00,22:03:00,480
25-0-SAB,04:45:00,22:03:00,480
26-1-SAB,05:00:00,21:36:00,480
26-0-SAB,05:00:00,21:36:00,480
27-1-SAB,04:45:00,21:00:00,480
27-0-SAB,04:45:00,21:00:00,480
28-1-SAB,04:30:00,21:12:00,480
28-0-SAB,04:30:00,21:12:00,480
29-1-SAB,04:30:00,22:15:00,480
29-0-SAB,04:30:00,22:15:00,480
30-1-SAB,04:45:00,22:15:00,480
