trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
24-0-L-V,05:00:00,05:00:00,1275,1,,,,
24-0-L-V,,,1276,2,,,,
24-0-L-V,,,1277,3,,,,
24-0-L-V,,,1278,4,,,,
24-0-L-V,,,1279,5,,,,
24-0-L-V,,,1280,6,,,,
24-0-L-V,,,1281,7,,,,
24-0-L-V,,,1282,8,,,,
24-0-L-V,,,1283,9,,,,
24-0-L-V,05:40:00,05:40:00,1284,10,,,,
24-1-L-V,05:00:00,05:00:00,1285,1,,,,
24-1-L-V,,,1286,2,,,,
24-1-L-V,,,1287,3,,,,
24-1-L-V,,,1288,4,,,,
24-1-L-V,,,1289,5,,,,
24-1-L-V,,,1290,6,,,,
24-1-L-V,,,1291,7,,,,
24-1-L-V,,,1292,8,,,,
24-1-L-V,,,1293,9,,,,
24-1-L-V,,,1294,10,,,,
24-1-L-V,,,1295,11,,,,
24-1-L-V,05:40:00,05:40:00,1296,12,,,,
25-1-L-V,05:00:00,05:00:00,2573,1,,,,
25-1-L-V,,,2574,2,,,,
25-1-L-V,,,2575,3,,,,
25-1-L-V,,,2576,4,,,,
25-1-L-V,,,2577,5,,,,
25-1-L-V,,,2578,6,,,,
25-1-L-V,,,2579,7,,,,
25-1-L-V,,,2580,8,,,,
25-1-L-V,,,2586,9,,,,
25-1-L-V,05:40:00,05:40:00,2587,10,,,,
25-0-L-V,05:00:00,05:00:00,2587,1,,,,
25-0-L-V,,,2588,2,,,,
25-0-L-V,,,2589,3,,,,
25-0-L-V,,,2590,4,,,,
25-0-L-V,,,2591,5,,,,
25-0-L-V,,,2592,6,,,,
25-0-L-V,,,2593,7,,,,
25-0-L-V,,,2594,8,,,,
25-0-L-V,,,2595,9,,,,
25-0-L-V,,,2596,10,,,,
25-0-L-V,,,2597,11,,,,
25-0-L-V,05:40:00,05:40:00,2598,12,,,,
26-1-L-V,05:00:00,05:00:00,2680,1,,,,
26-1-L-V,,,2681,2,,,,
26-1-L-V,,,2682,3,,,,
26-1-L-V,,,2683,4,,,,
26-1-L-V,,,2684,5,,,,
26-1-L-V,,,2685,6,,,,
26-1-L-V,,,2686,7,,,,
26-1-L-V,,,2687,8,,,,
26-1-L-V,,,2688,9,,,,
26-1-L-V,,,2689,10,,,,
26-1-L-V,,,2690,11,,,,
26-1-L-V,,,2691,12,,,,
26-1-L-V,,,2692,13,,,,
26-1-L-V,,,2693,14,,,,
26-1-L-V,,,2694,15,,,,
26-1-L-V,05:40:00,05:40:00,2695,16,,,,
26-0-L-V,05:00:00,05:00:00,2696,1,,,,
26-0-L-V,,,2697,2,,,,
26-0-L-V,,,2698,3,,,,
26-0-L-V,,,2699,4,,,,
26-0-L-V,,,2700,5,,,,
26-0-L-V,,,2701,6,,,,
26-0-L-V,,,2702,7,,,,
26-0-L-V,,,2703,8,,,,
26-0-L-V,,,2704,9,,,,
26-0-L-V,,,2706,10,,,,
26-0-L-V,,,2705,11,,,,
26-0-L-V,,,2707,12,,,,
26-0-L-V,05:40:00,05:40:00,2708,13,,,,
27-1-L-V,05:00:00,05:00:00,2599,1,,,,
27-1-L-V,,,2600,2,,,,
27-1-L-V,,,2601,3,,,,
27-1-L-V,,,2602,4,,,,
27-1-L-V,,,2603,5,,,,
27-1-L-V,,,2604,6,,,,
27-1-L-V,,,2605,7,,,,
27-1-L-V,,,2606,8,,,,
27-1-L-V,,,2607,9,,,,
27-1-L-V,,,2608,10,,,,
27-1-L-V,,,2609,11,,,,
27-1-L-V,,,2610,12,,,,
27-1-L-V,,,2611,13,,,,
27-1-L-V,,,2612,14,,,,
27-1-L-V,,,2613,15,,,,
27-1-L-V,,,2614,16,,,,
27-1-L-V,,,2615,17,,,,
27-1-L-V,,,2616,18,,,,
27-1-L-V,,,2617,19,,,,
27-1-L-V,,,2618,20,,,,
27-1-L-V,,,2619,21,,,,
27-1-L-V,,,2620,22,,,,
27-1-L-V,,,2621,23,,,,
27-1-L-V,,,2622,24,,,,
27-1-L-V,,,2623,25,,,,
27-1-L-V,05:40:00,05:40:00,2624,26,,,,
27-0-L-V,05:00:00,05:00:00,2625,1,,,,
27-0-L-V,,,2626,2,,,,
27-0-L-V,,,2627,3,,,,
27-0-L-V,,,2628,4,,,,
27-0-L-V,,,2629,5,,,,
27-0-L-V,,,2630,6,,,,
27-0-L-V,,,2631,7,,,,
27-0-L-V,,,2632,8,,,,
27-0-L-V,,,2633,9,,,,
27-0-L-V,,,2634,10,,,,
27-0-L-V,,,2635,11,,,,
27-0-L-V,,,2636,12,,,,
27-0-L-V,,,2637,13,,,,
27-0-L-V,,,2638,14,,,,
27-0-L-V,,,2639,15,,,,
27-0-L-V,,,2640,16,,,,
27-0-L-V,05:40:00,05:40:00,2641,17,,,,
28-1-L-V,05:00:00,05:00:00,1499,1,,,,
28-1-L-V,,,1500,2,,,,
28-1-L-V,,,1501,3,,,,
28-1-L-V,,,1502,4,,,,
28-1-L-V,,,1503,5,,,,
28-1-L-V,,,1504,6,,,,
28-1-L-V,,,1505,7,,,,
28-1-L-V,,,1506,8,,,,
28-1-L-V,,,1507,9,,,,
28-1-L-V,,,1508,10,,,,
28-1-L-V,,,1509,11,,,,
28-1-L-V,,,1510,12,,,,
28-1-L-V,,,1511,13,,,,
28-1-L-V,,,1512,14,,,,
28-1-L-V,05:40:00,05:40:00,1513,15,,,,
28-0-L-V,05:00:00,05:00:00,1514,1,,,,
28-0-L-V,,,1515,2,,,,
28-0-L-V,,,1516,3,,,,
28-0-L-V,,,1517,4,,,,
28-0-L-V,,,1518,5,,,,
28-0-L-V,,,1519,6,,,,
28-0-L-V,,,1520,7,,,,
28-0-L-V,,,1521,8,,,,
28-0-L-V,,,1522,9,,,,
28-0-L-V,,,1523,10,,,,
28-0-L-V,,,1524,11,,,,
28-0-L-V,,,1525,12,,,,
28-0-L-V,,,1526,13,,,,
28-0-L-V,,,1527,14,,,,
28-0-L-V,,,1528,15,,,,
28-0-L-V,05:40:00,05:40:00,1529,16,,,,
29-1-L-V,05:00:00,05:00:00,1334,1,,,,
29-1-L-V,,,1335,2,,,,
29-1-L-V,,,1336,3,,,,
29-1-L-V,,,1337,4,,,,
29-1-L-V,,,1338,5,,,,
29-1-L-V,,,1339,6,,,,
29-1-L-V,,,1340,7,,,,
29-1-L-V,,,1341,8,,,,
29-1-L-V,,,1342,9,,,,
29-1-L-V,,,1343,10,,,,
29-1-L-V,,,1344,11,,,,
29-1-L-V,,,1345,12,,,,
29-1-L-V,05:40:00,05:40:00,1346,13,,,,
29-0-L-V,05:00:00,05:00:00,1347,1,,,,
29-0-L-V,,,1348,2,,,,
29-0-L-V,,,1349,3,,,,
29-0-L-V,,,1350,4,,,,
29-0-L-V,,,1351,5,,,,
29-0-L-V,,,1352,6,,,,
29-0-L-V,,,1353,7,,,,
29-0-L-V,,,1354,8,,,,
29-0-L-V,,,1355,9,,,,
29-0-L-V,,,1356,10,,,,
29-0-L-V,,,1357,11,,,,
29-0-L-V,,,1358,12,,,,
29-0-L-V,05:40:00,05:40:00,1359,13,,,,
30-1-L-V,05:00:00,05:00:00,2121,1,,,,
30-1-L-V,,,2122,2,,,,
30-1-L-V,,,2123,3,,,,
30-1-L-V,,,2124,4,,,,
30-1-L-V,,,2125,5,,,,
30-1-L-V,,,2126,6,,,,
30-1-L-V,,,2127,7,,,,
30-1-L-V,,,2128,8,,,,
30-1-L-V,,,2129,9,,,,
30-1-L-V,,,2130,10,,,,
30-1-L-V,,,2131,11,,,,
30-1-L-V,,,2132,12,,,,
30-1-L-V,,,2133,13,,,,
30-1-L-V,,,2134,14,,,,
30-1-L-V,,,2135,15,,,,
30-1-L-V,,,2136,16,,,,
30-1-L-V,,,2137,17,,,,
30-1-L-V,,,2138,18,,,,
30-1-L-V,,,2139,19,,,,
30-1-L-V,,,2141,20,,,,
30-1-L-V,,,2140,21,,,,
30-1-L-V,,,2142,22,,,,
30-1-L-V,,,2143,23,,,,
30-1-L-V,,,2144,24,,,,
30-1-L-V,,,2145,28,,,,
30-1-L-V,05:40:00,05:40:00,2146,29,,,,
30-0-L-V,05:00:00,05:00:00,2147,1,,,,
30-0-L-V,,,2148,2,,,,
30-0-L-V,,,2150,3,,,,
30-0-L-V,,,2149,4,,,,
30-0-L-V,,,2151,5,,,,
30-0-L-V,,,2152,8,,,,
30-0-L-V,,,2153,9,,,,
30-0-L-V,,,2154,10,,,,
30-0-L-V,,,2155,11,,,,
30-0-L-V,,,2156,12,,,,
30-0-L-V,,,2157,13,,,,
30-0-L-V,,,2158,14,,,,
30-0-L-V,,,2159,15,,,,
30-0-L-V,,,2160,16,,,,
30-0-L-V,,,2161,17,,,,
30-0-L-V,,,2162,18,,,,
30-0-L-V,,,2163,19,,,,
30-0-L-V,,,2164,20,,,,
30-0-L-V,,,2165,21,,,,
30-0-L-V,,,2166,22,,,,
30-0-L-V,,,2167,23,,,,
30-0-L-V,,,2168,24,,,,
30-0-L-V,,,2169,25,,,,
30-0-L-V,,,2170,26,,,,
30-0-L-V,,,2171,27,,,,
30-0-L-V,,,2172,28,,,,
30-0-L-V,05:40:00,05:40:00,2173,29,,,,
31-1-L-V,05:00:00,05:00:00,906,1,,,,
31-1-L-V,,,907,2,,,,
31-1-L-V,,,908,3,,,,
31-1-L-V,,,909,4,,,,
31-1-L-V,,,910,5,,,,
31-1-L-V,,,911,6,,,,
31-1-L-V,,,912,7,,,,
31-1-L-V,,,913,8,,,,
31-1-L-V,,,914,9,,,,
31-1-L-V,,,915,10,,,,
31-1-L-V,,,916,11,,,,
31-1-L-V,,,917,12,,,,
31-1-L-V,,,918,13,,,,
31-1-L-V,,,919,14,,,,
31-1-L-V,,,920,15,,,,
31-1-L-V,,,921,16,,,,
31-1-L-V,,,922,17,,,,
31-1-L-V,,,923,18,,,,
31-1-L-V,,,924,19,,,,
31-1-L-V,,,925,20,,,,
31-1-L-V,,,926,21,,,,
