route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
24,L-V,24-0-L-V,,0,,24-0-L-V_24
24,L-V,24-1-L-V,,1,,24-1-L-V_24
25,L-V,25-1-L-V,,1,,25-1-L-V_25
25,L-V,25-0-L-V,,0,,25-0-L-V_25
26,L-V,26-1-L-V,,1,,26-1-L-V_26
26,L-V,26-0-L-V,,0,,26-0-L-V_26
27,L-V,27-1-L-V,,1,,27-1-L-V_27
27,L-V,27-0-L-V,,0,,27-0-L-V_27
28,L-V,28-1-L-V,,1,,28-1-L-V_28
28,L-V,28-0-L-V,,0,,28-0-L-V_28
29,L-V,29-1-L-V,,1,,29-1-L-V_29
29,L-V,29-0-L-V,,0,,29-0-L-V_29
30,L-V,30-1-L-V,,1,,30-1-L-V_30
30,L-V,30-0-L-V,,0,,30-0-L-V_30
31,L-V,31-1-L-V,,1,,31-1-L-V_31
31,L-V,31-0-L-V,,0,,31-0-L-V_31
10,L-V,10-1-L-V,,1,,10-1-L-V_10
10,L-V,10-0-L-V,,0,,10-0-L-V_10
33,L-V,33-1-L-V,,1,,33-1-L-V_33
33,L-V,33-0-L-V,,0,,33-0-L-V_33
11,L-V,11-1-L-V,Quebradaseca,1,,11-1-L-V_11
11,L-V,11-0-L-V,Temprana,0,,11-0-L-V_11
12,L-V,12-1-L-V,,1,,12-1-L-V_12
12,L-V,12-0-L-V,,0,,12-0-L-V_12
13,L-V,13-1-L-V,,1,,13-1-L-V_13
13,L-V,13-0-L-V,,0,,13-0-L-V_13
14,L-V,14-1-L-V,,1,,14-1-L-V_14
14,L-V,14-0-L-V,,0,,14-0-L-V_14
15,L-V,15-0-L-V,,0,,15-0-L-V_15
15,L-V,15-1-L-V,,1,,15-1-L-V_15
16,L-V,16-1-L-V,,1,,16-1-L-V_16
16,L-V,16-0-L-V,,0,,16-0-L-V_16
17,L-V,17-0-L-V,,0,,17-0-L-V_17
17,L-V,17-1-L-V,,1,,17-1-L-V_17
18,L-V,18-1-L-V,,1,,18-1-L-V_18
18,L-V,18-0-L-V,,0,,18-0-L-V_18
19,L-V,19-1-L-V,,1,,19-1-L-V_19
19,L-V,19-0-L-V,,0,,19-0-L-V_19
1,L-V,1-1-L-V,,1,,1-1-L-V_1
1,L-V,1-0-L-V,,0,,1-0-L-V_1
2,L-V,2-1-L-V,,1,,2-1-L-V_2
2,L-V,2-0-L-V,,0,,2-0-L-V_2
3,L-V,3-1-L-V,Temprana,1,,3-1-L-V_3
3,L-V,3-0-L-V,Quebradaseca,0,,3-0-L-V_3
4,L-V,4-1-L-V,,1,,4-1-L-V_4
4,L-V,4-0-L-V,,0,,4-0-L-V_4
5,L-V,5-1-L-V,,1,,5-1-L-V_5
5,L-V,5-0-L-V,,0,,5-0-L-V_5
6,L-V,6-1-L-V,,1,,6-1-L-V_6
6,L-V,6-0-L-V,,0,,6-0-L-V_6
7,L-V,7-1-L-V,,1,,7-1-L-V_7
7,L-V,7-0-L-V,,0,,7-0-L-V_7
8,L-V,8-1-L-V,,1,,8-1-L-V_8
8,L-V,8-0-L-V,,0,,8-0-L-V_8
9,L-V,9-1-L-V,,1,,9-1-L-V_9
9,L-V,9-0-L-V,,0,,9-0-L-V_9
20,L-V,20-0-L-V,,0,,20-0-L-V_20
20,L-V,20-1-L-V,,1,,20-1-L-V_20
21,L-V,21-1-L-V,,1,,21-1-L-V_21
21,L-V,21-0-L-V,,0,,21-0-L-V_21
24,SAB,24-0-SAB,,0,,24-0-SAB_24
24,SAB,24-1-SAB,,1,,24-1-SAB_24
25,SAB,25-1-SAB,,1,,25-1-SAB_25
25,SAB,25-0-SAB,,0,,25-0-SAB_25
26,SAB,26-1-SAB,,1,,26-1-SAB_26
26,SAB,26-0-SAB,,0,,26-0-SAB_26
27,SAB,27-1-SAB,,1,,27-1-SAB_27
27,SAB,27-0-SAB,,0,,27-0-SAB_27
28,SAB,28-1-SAB,,1,,28-1-SAB_28
28,SAB,28-0-SAB,,0,,28-0-SAB_28
29,SAB,29-1-SAB,,1,,29-1-SAB_29
29,SAB,29-0-SAB,,0,,29-0-SAB_29
30,SAB,30-1-SAB,,1,,30-1-SAB_30
30,SAB,30-0-SAB,,0,,30-0-SAB_30
31,SAB,31-1-SAB,,1,,31-1-SAB_31
31,SAB,31-0-SAB,,0,,31-0-SAB_31
10,SAB,10-1-SAB,,1,,10-1-SAB_10
10,SAB,10-0-SAB,,0,,10-0-SAB_10
33,SAB,33-1-SAB,,1,,33-1-SAB_33
33,SAB,33-0-SAB,,0,,33-0-SAB_33
11,SAB,11-1-SAB,Quebradaseca,1,,11-1-SAB_11
11,SAB,11-0-SAB,Temprana,0,,11-0-SAB_11
12,SAB,12-1-SAB,,1,,12-1-SAB_12
12,SAB,12-0-SAB,,0,,12-0-SAB_12
13,SAB,13-1-SAB,,1,,13-1-SAB_13
13,SAB,13-0-SAB,,0,,13-0-SAB_13
14,SAB,14-1-SAB,,1,,14-1-SAB_14
14,SAB,14-0-SAB,,0,,14-0-SAB_14
15,SAB,15-0-SAB,,0,,15-0-SAB_15
15,SAB,15-1-SAB,,1,,15-1-SAB_15
16,SAB,16-1-SAB,,1,,16-1-SAB_16
16,SAB,16-0-SAB,,0,,16-0-SAB_16
17,SAB,17-0-SAB,,0,,17-0-SAB_17
17,SAB,17-1-SAB,,1,,17-1-SAB_17
18,SAB,18-1-SAB,,1,,18-1-SAB_18
18,SAB,18-0-SAB,,0,,18-0-SAB_18
19,SAB,19-1-SAB,,1,,19-1-SAB_19
19,SAB,19-0-SAB,,0,,19-0-SAB_19
1,SAB,1-1-SAB,,1,,1-1-SAB_1
1,SAB,1-0-SAB,,0,,1-0-SAB_1
2,SAB,2-1-SAB,,1,,2-1-SAB_2
2,SAB,2-0-SAB,,0,,2-0-SAB_2
3,SAB,3-1-SAB,Temprana,1,,3-1-SAB_3
3,SAB,3-0-SAB,Quebradaseca,0,,3-0-SAB_3
4,SAB,4-1-SAB,,1,,4-1-SAB_4
4,SAB,4-0-SAB,,0,,4-0-SAB_4
5,SAB,5-1-SAB,,1,,5-1-SAB_5
5,SAB,5-0-SAB,,0,,5-0-SAB_5
6,SAB,6-1-SAB,,1,,6-1-SAB_6
6,SAB,6-0-SAB,,0,,6-0-SAB_6
7,SAB,7-1-SAB,,1,,7-1-SAB_7
7,SAB,7-0-SAB,,0,,7-0-SAB_7
8,SAB,8-1-SAB,,1,,8-1-SAB_8
8,SAB,8-0-SAB,,0,,8-0-SAB_8
9,SAB,9-1-SAB,,1,,9-1-SAB_9
9,SAB,9-0-SAB,,0,,9-0-SAB_9
20,SAB,20-0-SAB,,0,,20-0-SAB_20
20,SAB,20-1-SAB,,1,,20-1-SAB_20
21,SAB,21-1-SAB,,1,,21-1-SAB_21
21,SAB,21-0-SAB,,0,,21-0-SAB_21
24,D-F,24-0-D-F,,0,,24-0-D-F_24
24,D-F,24-1-D-F,,1,,24-1-D-F_24
25,D-F,25-1-D-F,,1,,25-1-D-F_25
25,D-F,25-0-D-F,,0,,25-0-D-F_25
26,D-F,26-1-D-F,,1,,26-1-D-F_26
26,D-F,26-0-D-F,,0,,26-0-D-F_26
28,D-F,28-1-D-F,,1,,28-1-D-F_28
28,D-F,28-0-D-F,,0,,28-0-D-F_28
29,D-F,29-1-D-F,,1,,29-1-D-F_29
29,D-F,29-0-D-F,,0,,29-0-D-F_29
30,D-F,30-1-D-F,,1,,30-1-D-F_30
30,D-F,30-0-D-F,,0,,30-0-D-F_30
31,D-F,31-1-D-F,,1,,31-1-D-F_31
31,D-F,31-0-D-F,,0,,31-0-D-F_31
11,D-F,11-1-D-F,Quebradaseca,1,,11-1-D-F_11
11,D-F,11-0-D-F,Temprana,0,,11-0-D-F_11
12,D-F,12-1-D-F,,1,,12-1-D-F_12
12,D-F,12-0-D-F,,0,,12-0-D-F_12
13,D-F,13-1-D-F,,1,,13-1-D-F_13
13,D-F,13-0-D-F,,0,,13-0-D-F_13
14,D-F,14-1-D-F,,1,,14-1-D-F_14
14,D-F,14-0-D-F,,0,,14-0-D-F_14
15,D-F,15-0-D-F,,0,,15-0-D-F_15
15,D-F,15-1-D-F,,1,,15-1-D-F_15
16,D-F,16-1-D-F,,1,,16-1-D-F_16
16,D-F,16-0-D-F,,0,,16-0-D-F_16
17,D-F,17-0-D-F,,0,,17-0-D-F_17
17,D-F,17-1-D-F,,1,,17-1-D-F_17
18,D-F,18-1-D-F,,1,,18-1-D-F_18
18,D-F,18-0-D-F,,0,,18-0-D-F_18
19,D-F,19-1-D-F,,1,,19-1-D-F_19
19,D-F,19-0-D-F,,0,,19-0-D-F_19
1,D-F,1-1-D-F,,1,,1-1-D-F_1
1,D-F,1-0-D-F,,0,,1-0-D-F_1
2,D-F,2-1-D-F,,1,,2-1-D-F_2
2,D-F,2-0-D-F,,0,,2-0-D-F_2
4,D-F,4-1-D-F,,1,,4-1-D-F_4
4,D-F,4-0-D-F,,0,,4-0-D-F_4
5,D-F,5-1-D-F,,1,,5-1-D-F_5
5,D-F,5-0-D-F,,0,,5-0-D-F_5
6,D-F,6-1-D-F,,1,,6-1-D-F_6
6,D-F,6-0-D-F,,0,,6-0-D-F_6
7,D-F,7-1-D-F,,1,,7-1-D-F_7
7,D-F,7-0-D-F,,0,,7-0-D-F_7
20,D-F,20-0-D-F,,0,,20-0-D-F_20
20,D-F,20-1-D-F,,1,,20-1-D-F_20
21,D-F,21-1-D-F,,1,,21-1-D-F_21
21,D-F,21-0-D-F,,0,,21-0-D-F_21
