service_id,date,exception_type
3052024,20140910,1
3052024,20140911,1
3052024,20140912,1
3052027,20140913,1
3052026,20140914,1
3052024,20140915,1
3052024,20140916,1
3052024,20140917,1
3052024,20140918,1
3052024,20140919,1
3052027,20140920,1
3052026,20140921,1
3052024,20140922,1
3052024,20140923,1
3052024,20140924,1
3052024,20140925,1
3052024,20140926,1
3052027,20140927,1
3052026,20140928,1
3052024,20140929,1
3052024,20140930,1
3052024,20141001,1
3052024,20141002,1
3052024,20141003,1
3052027,20141004,1
3052026,20141005,1
3052024,20141006,1
3052024,20141007,1
3052024,20141008,1
3052024,20141009,1
3052024,20141010,1
3052027,20141011,1
3052026,20141012,1
3052026,20141013,1
3052024,20141014,1
3052024,20141015,1
3052024,20141016,1
3052024,20141017,1
3052027,20141018,1
3052026,20141019,1
3052024,20141020,1
3052024,20141021,1
3052024,20141022,1
3052024,20141023,1
3052024,20141024,1
3052027,20141025,1
3052026,20141026,1
3052024,20141027,1
3052024,20141028,1
3052024,20141029,1
3052024,20141030,1
3052024,20141031,1
3052027,20141101,1
3052026,20141102,1
3052026,20141103,1
3052024,20141104,1
3052024,20141105,1
3052024,20141106,1
3052024,20141107,1
3052027,20141108,1
3052026,20141109,1
3052024,20141110,1
3052024,20141111,1
3052024,20141112,1
3052024,20141113,1
3052024,20141114,1
3052027,20141115,1
3052026,20141116,1
3052026,20141117,1
3052024,20141118,1
3052024,20141119,1
3052024,20141120,1
3052024,20141121,1
3052027,20141122,1
3052026,20141123,1
3052024,20141124,1
3052024,20141125,1
3052024,20141126,1
3052024,20141127,1
3052024,20141128,1
3052027,20141129,1
3052026,20141130,1
3052024,20141201,1
3052024,20141202,1
3052024,20141203,1
3052024,20141204,1
3052024,20141205,1
3052027,20141206,1
3052026,20141207,1
3052026,20141208,1
3052024,20141209,1
3052024,20141210,1
3052024,20141211,1
3052024,20141212,1
3052027,20141213,1
3052026,20141214,1
3052024,20141215,1
3052024,20141216,1
3052024,20141217,1
3052024,20141218,1
3052024,20141219,1
3052027,20141220,1
3052026,20141221,1
3052024,20141222,1
3052024,20141223,1
3052024,20141224,1
3052026,20141225,1
3052024,20141226,1
3052027,20141227,1
3052026,20141228,1
3052024,20141229,1
3052024,20141230,1
3052024,20141231,1
3052024,20140908,1
3052024,20140909,1
