shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S1314,3.481915,-76.49791167,0,0
S1314,3.4782025,-76.50237833,1,636
S1314,3.473625,-76.50695,2,1339
S1314,3.46947,-76.51088667,3,1982
S1314,3.466125,-76.513435,4,2452
S1314,3.46289,-76.51752,5,3025
S1314,3.46043,-76.52534333,6,4086
S1314,3.45654833,-76.53053667,7,4839
S1314,3.45364833,-76.53168167,8,5207
S1314,3.44856833,-76.53014833,9,5784
S1314,3.44399833,-76.52895167,10,6299
S1314,3.44220833,-76.53286,11,6899
S1314,3.43938833,-76.53738167,12,7496
S1314,3.43463,-76.54122667,13,8176
S1314,3.431525,-76.54342833,14,8604
S1314,3.42356667,-76.54703,15,9563
S1314,3.41891167,-76.54839167,16,10102
S1314,3.41494167,-76.54854,17,10550
S1314,3.40960417,-76.54746333,18,11148
S1314,3.40359333,-76.54687333,19,11808
S1314,3.39859889,-76.5464675,20,12361
S1314,3.394255,-76.54599333,21,12845
S1314,3.38772833,-76.54499,22,13569
S1314,3.37701,-76.54277833,23,14774
S1314,3.372535,-76.539995,24,15391
S1314,3.37068667,-76.536625,25,15817
S1314,3.367005,-76.52925167,26,16731
S1312,3.41499333,-76.54822667,0,0
S1312,3.41914667,-76.548225,1,461
S1312,3.423815,-76.54685167,2,997
S1312,3.43172167,-76.54311667,3,1956
S1312,3.43478333,-76.54092167,4,2382
S1312,3.43961167,-76.537175,5,3062
S1312,3.442245,-76.532565,6,3655
S1312,3.44263333,-76.52771583,7,4194
S1312,3.44355333,-76.52622667,8,4489
S1312,3.44870833,-76.52776667,9,5082
S1312,3.4541,-76.52995,10,5720
S1312,3.45674833,-76.53030833,11,6034
S1312,3.45859333,-76.52557667,12,6621
S1312,3.46014167,-76.52232333,13,7015
S1312,3.46297667,-76.517225,14,7668
S1312,3.46632,-76.51322,15,8246
S1312,3.46967833,-76.510565,16,8716
S1312,3.47385167,-76.506555,17,9353
S1312,3.478355,-76.502095,18,10052
S1312,3.48160167,-76.49807667,19,10626
S1316,3.36718333,-76.529395,0,0
S1316,3.370985,-76.53685167,1,932
S1316,3.37282833,-76.540475,2,1376
S1316,3.37730667,-76.54279,3,1961
S1316,3.387815,-76.54479833,4,3142
S1316,3.39397833,-76.54582333,5,3823
S1316,3.39891833,-76.546405,6,4372
S1316,3.40386667,-76.54678167,7,4925
S1316,3.40987,-76.54744833,8,5586
S1316,3.41499333,-76.54822667,9,6157
S1316,3.41914667,-76.548225,10,6618
S1316,3.423815,-76.54685167,11,7154
S1316,3.43172167,-76.54311667,12,8113
S1316,3.43478333,-76.54092167,13,8539
S1316,3.43961167,-76.537175,14,9219
S1316,3.442245,-76.532565,15,9812
S1316,3.44263333,-76.52771583,16,10351
S1316,3.44355333,-76.52622667,17,10646
S1316,3.44870833,-76.52776667,18,11239
S1316,3.4541,-76.52995,19,11877
S1316,3.45674833,-76.53030833,20,12191
S1316,3.45859333,-76.52557667,21,12778
S1316,3.46014167,-76.52232333,22,13172
S1316,3.46297667,-76.517225,23,13825
S1316,3.46632,-76.51322,24,14403
S1316,3.46967833,-76.510565,25,14873
S1316,3.47385167,-76.506555,26,15510
S1316,3.478355,-76.502095,27,16209
S1316,3.48160167,-76.49807667,28,16783
S13117,3.41494167,-76.54854,0,0
S13117,3.40960417,-76.54746333,1,598
S13117,3.40359333,-76.54687333,2,1258
S13117,3.39859889,-76.5464675,3,1811
S13117,3.394255,-76.54599333,4,2295
S13117,3.38772833,-76.54499,5,3019
S13117,3.37701,-76.54277833,6,4224
S13117,3.372535,-76.539995,7,4841
S13117,3.37068667,-76.536625,8,5267
S13117,3.367005,-76.52925167,9,6181
S1404,3.44342167,-76.48298833,0,0
S1404,3.44522833,-76.48744667,1,1155
S1404,3.44362333,-76.49610667,2,2154
S1404,3.44396167,-76.49896667,3,2469
S1404,3.444395,-76.50232,4,2843
S1404,3.444905,-76.50843667,5,3510
S1404,3.44534833,-76.51471,6,4202
S1404,3.44417667,-76.52084,7,4898
S1404,3.44355333,-76.52622667,8,5647
S1404,3.44870833,-76.52776667,9,6240
S1404,3.4541,-76.52995,10,6878
S1404,3.453235,-76.53150333,11,7349
S1402,3.453235,-76.53150333,0,0
S1402,3.44811333,-76.53000333,1,578
S1402,3.44399833,-76.52895167,2,1041
S1402,3.442665,-76.527295,3,1282
S1402,3.44414,-76.52053333,4,2054
S1402,3.44526,-76.51444333,5,2748
S1402,3.44475833,-76.50812833,6,3439
S1402,3.44423833,-76.50207833,7,4106
S1402,3.44376,-76.49870667,8,4480
S1402,3.44346,-76.49585833,9,4795
S1402,3.44520667,-76.4872,10,5815
S1402,3.44334194,-76.48351694,11,7123
S1422,3.47060167,-76.52208667,0,0
S1422,3.46708333,-76.523915,1,445
S1422,3.46115167,-76.52710167,2,1220
S1422,3.453235,-76.53150333,3,2265
S1422,3.44811333,-76.53000333,4,2843
S1422,3.44399833,-76.52895167,5,3306
S1422,3.44414,-76.52053333,6,4367
S1422,3.44526,-76.51444333,7,5061
S1422,3.44475833,-76.50812833,8,5752
S1422,3.44423833,-76.50207833,9,6419
S1422,3.44376,-76.49870667,10,6793
S1422,3.44084333,-76.47981167,11,9577
S1422,3.43894667,-76.47706667,12,9943
S1422,3.43762833,-76.475065,13,10204
S1422,3.43584667,-76.473505,14,10466
S1422,3.43406333,-76.47231667,15,10701
S1422,3.43128,-76.46929167,16,11155
S1422,3.42938833,-76.467175,17,11472
S1422,3.42798,-76.46609,18,11670
S1422,3.425725,-76.46538333,19,11944
S1422,3.42150167,-76.46678167,20,12448
S1422,3.41934333,-76.4678,21,12706
S1422,3.41784833,-76.468655,22,12905
S1422,3.41474667,-76.47044333,23,13290
S1422,3.41153333,-76.47231,24,13701
S1422,3.40877167,-76.47386,25,14050
S1422,3.406745,-76.47501833,26,14306
S1422,3.4060375,-76.47529417,27,14511
S1423,3.4060375,-76.47529417,0,0
S1423,3.40686333,-76.47482333,1,102
S1423,3.4088,-76.47373833,2,346
S1423,3.41253333,-76.47155167,3,823
S1423,3.41463667,-76.47036667,4,1092
S1423,3.41762167,-76.46867333,5,1467
S1423,3.41933333,-76.46765333,6,1687
S1423,3.422345,-76.46605,7,2063
S1423,3.42524,-76.46526833,8,2387
S1423,3.42798333,-76.465895,9,2713
S1423,3.42982667,-76.46729167,10,2969
S1423,3.43184667,-76.46990667,11,3336
S1423,3.43356,-76.47154167,12,3601
S1423,3.43636667,-76.47376167,13,3991
S1423,3.43762833,-76.475065,14,4198
S1423,3.43913,-76.47711667,15,4475
S1423,3.44060333,-76.47908833,16,4746
S1423,3.44396167,-76.49896667,17,7633
S1423,3.444395,-76.50232,18,8007
S1423,3.444905,-76.50843667,19,8674
S1423,3.44534833,-76.51471,20,9366
S1423,3.44417667,-76.52084,21,10062
S1423,3.44870833,-76.52776667,22,11342
S1423,3.45491333,-76.53029,23,12074
S1423,3.46129333,-76.52690333,24,12911
S1423,3.46625167,-76.52370333,25,13608
S1423,3.47027167,-76.52202833,26,14110
S1423,3.47060167,-76.52208667,27,14493
S1502,3.41847861,-76.48684028,0,0
S1502,3.42158306,-76.49088111,1,566
S1502,3.42487694,-76.49461639,2,1119
S1502,3.42710556,-76.50530861,3,2804
S1502,3.43216278,-76.510235,4,3608
S1502,3.43459889,-76.51394694,5,4105
S1502,3.43804167,-76.51861611,6,4749
S1502,3.43977972,-76.52284722,7,5261
S1502,3.44917472,-76.52793139,8,6580
S1502,3.4541,-76.52995,9,7171
S1503,3.4541,-76.52995,0,0
S1503,3.453235,-76.53150333,1,471
S1503,3.44856833,-76.53014833,2,1009
S1503,3.44399833,-76.52895167,3,1524
S1503,3.43973667,-76.52276389,4,2477
S1503,3.43795583,-76.51854444,5,2987
S1503,3.43453194,-76.51391583,6,3626
S1503,3.432075,-76.51014417,7,4130
S1503,3.42697944,-76.50525667,8,4933
S1503,3.42472889,-76.49453278,9,6585
S1503,3.42143972,-76.49077639,10,7139
S1503,3.41832444,-76.48674361,11,7705
S2172,3.41447667,-76.54845,0,0
S2172,3.39859889,-76.5464675,1,1796
S2172,3.38772833,-76.54499,2,3024
S2172,3.37701,-76.54277833,3,4229
S2172,3.372535,-76.539995,4,4846
S2172,3.35337833,-76.523485,5,8016
S2172,3.35090194,-76.52514583,6,8401
S2172,3.3478775,-76.530725,7,9285
S2173,3.3478775,-76.530725,0,0
S2173,3.34128417,-76.53109389,1,734
S2173,3.33845389,-76.52950167,2,1255
S2173,3.33857972,-76.5263275,3,1607
S2173,3.35358833,-76.52324833,4,3422
S2173,3.37282833,-76.540475,5,6958
