stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
518082,K23T251,Kr 23 entre Tr 25 y Cl 25,3.43620111,-76.51699389,0
518083,C27K27,Cl 27 entre Kr 28 y 27,3.42942111,-76.51661167,0
518084,C27K25B,Cl 27 Kr 25B y 25A,3.43150889,-76.51638639,0
518085,C28K23C,Cl 28 entre Kr 23C y 23B,3.43422222,-76.51480333,0
518089,C32K31A,Cl 32entre Kr 31A y 31,3.4254075,-76.51188639,0
518090,C32K29AB,Cl 32 entre Kr 29A Bis y 29A,3.42752861,-76.51174583,0
518092,T29K26,Tr 29 entre Kr26 y 25,3.43321694,-76.51012222,0
518097,T30C29,Tr 30 con Cl 29,3.44290056,-76.51640056,0
518098,T30C17F,Tr 30 entre Kr 17F y Dg 19,3.43951139,-76.51436167,0
518101,C44K29,Cl 44 entre Kr 29 y 29A,3.42634861,-76.50539583,0
518105,T30C17D,Tr 30 entre Kr 17D y 17F,3.44098833,-76.51501222,0
518109,C32K33C,Cl 32 entre Kr 33C y 33B,3.42220056,-76.51215444,0
518111,D22T25,Dg 22 entre Tr 25 y 26,3.43511333,-76.51420889,0
518112,C33CK24B,Cl 33C entre Kr 24B y 24C,3.43564611,-76.50983667,0
518113,C33CK25,Cl 33C entre Kr 25 y 26,3.43347944,-76.50924889,0
518114,K27C33E,Kr 27 entre Cl 33E y 33H,3.43294139,-76.50747222,0
518115,K27C34,Kr 27 entre Cl 34 y 36,3.43349278,-76.50525611,0
518116,K27C36A,Kr 27 entre Cl 36A y Dg 28B,3.43362111,-76.50309944,0
518117,K27C44,Kr 27 entre Cl 44 y 49,3.43267139,-76.50122639,0
518118,K27C52,Kr 27 entre 52 y 54,3.43174167,-76.49938944,0
518119,K27C70,Kr 27 entre Cl 70 y 56A,3.43128306,-76.49806722,0
518120,K27C50,Kr 27 entre Cl 50 y 49,3.43266722,-76.5008025,0
518121,K27D28B,Kr 27 entre Dg 28B y Cl 39,3.43389889,-76.50325,0
