trip_id,start_time,end_time,headway_secs
T100E-I-L-V,06:00:00,20:00:00,600
T100E-R-L-V,06:00:00,20:00:00,600
T101-I-L-V,05:30:00,23:00:00,600
T101-R-L-V,05:30:00,23:00:00,600
T102-I-L-V,05:30:00,21:00:00,600
T102-R-L-V,05:30:00,21:00:00,600
T103-I-L-V,05:30:00,21:00:00,600
T103-R-L-V,05:30:00,21:00:00,600
T100E-I-SAB,06:00:00,10:00:00,600
T100E-R-SAB,06:00:00,10:00:00,600
T101-I-SAB,05:30:00,21:00:00,600
T101-R-SAB,05:30:00,21:00:00,600
T102-I-SAB,05:30:00,21:00:00,600
T102-R-SAB,05:30:00,21:00:00,600
T103-I-SAB,05:30:00,21:00:00,600
T103-R-SAB,05:30:00,21:00:00,600
T101-I-D-F,07:00:00,20:00:00,600
T101-R-D-F,07:00:00,20:00:00,600
T102-I-D-F,07:00:00,20:00:00,600
T102-R-D-F,07:00:00,20:00:00,600
T103-I-D-F,07:00:00,20:00:00,600
T103-R-D-F,07:00:00,20:00:00,600
A102P-I-L-V,05:00:00,20:00:00,600
A102P-R-L-V,05:00:00,20:00:00,600
A103P-I-L-V,05:00:00,20:00:00,600
A103P-R-L-V,05:00:00,20:00:00,600
A104P-I-L-V,05:00:00,20:00:00,600
A104P-R-L-V,05:00:00,20:00:00,600
A115P-I-L-V,05:00:00,20:00:00,600
A115P-R-L-V,05:00:00,20:00:00,600
A107P-I-L-V,05:00:00,20:00:00,600
A107P-R-L-V,05:00:00,20:00:00,600
A113P-I-L-V,05:00:00,20:00:00,600
A113P-R-L-V,05:00:00,20:00:00,600
X106P-I-L-V,05:00:00,20:00:00,600
X106P-R-L-V,05:00:00,20:00:00,600
C000-I-L-V,06:00:00,08:00:00,600
C000-I-L-V,17:00:00,20:00:00,600
C000-R-L-V,06:00:00,08:00:00,600
C000-R-L-V,17:00:00,20:00:00,600
C015P-I-L-V,05:00:00,20:00:00,600
C015P-R-L-V,05:00:00,20:00:00,600
