trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
T100E-I-L-V,05:00:00,05:00:00,CTG-BUS-000,0,,,,
T100E-I-L-V,,,CTG-BUS-002,1,,,,
T100E-I-L-V,,,CTG-BUS-003,2,,,,
T100E-I-L-V,,,CTG-BUS-014,3,,,,
T100E-I-L-V,05:20:00,05:20:00,CTG-BUS-013,4,,,,
T100E-R-L-V,05:00:00,05:00:00,CTG-BUS-013,0,,,,
T100E-R-L-V,,,CTG-BUS-014,1,,,,
T100E-R-L-V,,,CTG-BUS-003,2,,,,
T100E-R-L-V,,,CTG-BUS-002,3,,,,
T100E-R-L-V,05:20:00,05:20:00,CTG-BUS-000,4,,,,
T101-I-L-V,05:00:00,05:00:00,CTG-BUS-000,0,,,,
T101-I-L-V,,,CTG-BUS-002,1,,,,
T101-I-L-V,,,CTG-BUS-003,2,,,,
T101-I-L-V,,,CTG-BUS-004,3,,,,
T101-I-L-V,,,CTG-BUS-005,4,,,,
T101-I-L-V,,,CTG-BUS-006,5,,,,
T101-I-L-V,,,CTG-BUS-015,6,,,,
T101-I-L-V,,,CTG-BUS-008,7,,,,
T101-I-L-V,,,CTG-BUS-001,8,,,,
T101-I-L-V,,,CTG-BUS-118,9,,,,
T101-I-L-V,,,CTG-BUS-007,10,,,,
T101-I-L-V,,,CTG-BUS-009,11,,,,
T101-I-L-V,,,CTG-BUS-011,12,,,,
T101-I-L-V,,,CTG-BUS-010,13,,,,
T101-I-L-V,,,CTG-BUS-012,14,,,,
T101-I-L-V,,,CTG-BUS-014,15,,,,
T101-I-L-V,05:40:00,05:40:00,CTG-BUS-013,16,,,,
T101-R-L-V,05:00:00,05:00:00,CTG-BUS-013,0,,,,
T101-R-L-V,,,CTG-BUS-014,1,,,,
T101-R-L-V,,,CTG-BUS-012,2,,,,
T101-R-L-V,,,CTG-BUS-010,3,,,,
T101-R-L-V,,,CTG-BUS-011,4,,,,
T101-R-L-V,,,CTG-BUS-009,5,,,,
T101-R-L-V,,,CTG-BUS-007,6,,,,
T101-R-L-V,,,CTG-BUS-118,7,,,,
T101-R-L-V,,,CTG-BUS-001,8,,,,
T101-R-L-V,,,CTG-BUS-008,9,,,,
T101-R-L-V,,,CTG-BUS-015,10,,,,
T101-R-L-V,,,CTG-BUS-006,11,,,,
T101-R-L-V,,,CTG-BUS-005,12,,,,
T101-R-L-V,,,CTG-BUS-004,13,,,,
T101-R-L-V,,,CTG-BUS-003,14,,,,
T101-R-L-V,,,CTG-BUS-002,15,,,,
T101-R-L-V,05:40:00,05:40:00,CTG-BUS-000,16,,,,
T102-I-L-V,05:00:00,05:00:00,CTG-BUS-000,0,,,,
T102-I-L-V,,,CTG-BUS-002,1,,,,
T102-I-L-V,,,CTG-BUS-003,2,,,,
