stop_id,stop_name,stop_lat,stop_lon,stop_timezone,stop_code
CTG-BUS-000,Estation Patio Portal,10.3963277,-75.4720521,America/Bogota,
CTG-BUS-001,Estación María Auxiliadora,10.4088491,-75.5155693,America/Bogota,
CTG-BUS-002,Estación Madre Bernarda,10.395282,-75.477729,America/Bogota,
CTG-BUS-003,Estación La Castellana,10.39451,-75.486925,America/Bogota,
CTG-BUS-004,Estación Los Angeles,10.3949509,-75.4899431,America/Bogota,
CTG-BUS-005,Estación Los Ejecutivos,10.3992956,-75.4935334,America/Bogota,
CTG-BUS-006,Estación Villa Olímpica,10.403628,-75.497628,America/Bogota,
CTG-BUS-007,Estación Bazurto,10.4144581,-75.5247871,America/Bogota,
CTG-BUS-008,Estación República de El Líbano,10.4071937,-75.5071349,America/Bogota,
CTG-BUS-009,Estación Las Delicias,10.4162253,-75.5274336,America/Bogota,
CTG-BUS-010,Estación Lo Amador,10.422411,-75.5343281,America/Bogota,
CTG-BUS-011,Estación La Popa,10.4203538,-75.5309804,America/Bogota,
CTG-BUS-012,Estación Chambacu,10.4260514,-75.5407017,America/Bogota,
CTG-BUS-013,Estación La Bodeguita,10.4205364,-75.5509891,America/Bogota,
CTG-BUS-014,Estación Centro,10.4254961,-75.546029,America/Bogota,
CTG-BUS-015,Estación Cuatro Vientos,10.4064073,-75.5023826,America/Bogota,
CTG-BUS-016,Puente peatonal SENA,10.375128, -75.4590117,America/Bogota,
CTG-BUS-017,Parque Industrial Ternera,10.3788559, -75.4624631,America/Bogota,
CTG-BUS-018,Urbanización La Princesa,10.3812375, -75.4646951,America/Bogota,
CTG-BUS-019,Hotel Cartagena Confort,10.3827466, -75.4666059,America/Bogota,
CTG-BUS-020,C.C. San Fernando,10.383947, -75.4683751,America/Bogota,
CTG-BUS-021,Bodega del Tablon,10.3861076, -75.4715643,America/Bogota,
CTG-BUS-022,Cementerio Jardines de Cartagena,10.3879923, -75.4743805,America/Bogota,
CTG-BUS-023,Parque de Santa Mónica,10.3892797, -75.4763319,America/Bogota,
CTG-BUS-024,C.C. La Plazuela,10.3909321, -75.4791487,America/Bogota,
CTG-BUS-025,C.C Santa Lucia,10.391632, -75.480263,America/Bogota,
CTG-BUS-026,Entrada al Rodeo,10.3746113, -75.4586428,America/Bogota,
CTG-BUS-027,Entrada U. Tecnológica de Bolívar,10.3764612, -75.4603973,America/Bogota,
CTG-BUS-028,Entrada a Simón Bolívar,10.3801447, -75.4637239,America/Bogota,
CTG-BUS-029,Colegio de la Policia Nacional,10.3819121, -75.4654402,America/Bogota,
CTG-BUS-030,Mi Vaquita,10.3845824, -75.4694694,America/Bogota,
CTG-BUS-031,Conjunto La Bonguita,10.3861342, -75.4717182,America/Bogota,
CTG-BUS-032,Cementerio Jardines de Cartagena,10.3877111, -75.4741008,America/Bogota,
CTG-BUS-033,Parque de Santa Mónica,10.3891934, -75.4763449,America/Bogota,
CTG-BUS-034,C.C. La Plazuela,10.3904242, -75.478439,America/Bogota,
CTG-BUS-035,Fundación Ser Social,10.392156, -75.481346,America/Bogota,
CTG-BUS-036,Cancha El Bambino,10.4219291, -75.5535791,America/Bogota,
CTG-BUS-037,Cafe del Mar,10.4250061, -75.554085,America/Bogota,
CTG-BUS-038,Teatro Heredia,10.426936, -75.5517334,America/Bogota,
CTG-BUS-039,El Boquetillo,10.4286996, -75.5492391,America/Bogota,
CTG-BUS-040,Hospital Linde,10.4322318, -75.5439293,America/Bogota,
CTG-BUS-041,Edificio El Espigon,10.4342777, -75.5400446,America/Bogota,
CTG-BUS-042,DATT,10.4358676, -75.5374184,America/Bogota,
CTG-BUS-043,Edificio Altamar,10.4370391, -75.5337956,America/Bogota,
CTG-BUS-044,Global Center,10.4393081, -75.5303588,America/Bogota,
CTG-BUS-045,Bomba Terpel,10.44102, -75.5278476,America/Bogota,
CTG-BUS-046,Parque Cangrejo Azul,10.4424825, -75.5239432,America/Bogota,
CTG-BUS-047,Puente de Crespito,10.4429338, -75.5188597,America/Bogota,
CTG-BUS-048,Iglesia Cristo Rey,10.444418, -75.5177127,America/Bogota,
CTG-BUS-049,Calle 6 - Aeropuerto,10.4470785, -75.5175094,America/Bogota,
CTG-BUS-050,Ferreteria Crespo,10.4489917, -75.5172719,America/Bogota,
CTG-BUS-051,La Carbonera - Carrera 8,10.449428, -75.5172146,America/Bogota,
CTG-BUS-052,Esquina Calle 6,10.4476245, -75.5174464,America/Bogota,
CTG-BUS-053,Restaurante Chino Jhon Hing,10.4459102, -75.5176269,America/Bogota,
CTG-BUS-054,Esquina Cra. 2,10.4436768, -75.5178491,America/Bogota,
CTG-BUS-055,Vivero Rincon del Mar (Puente Crespito),10.443042, -75.5182372,America/Bogota,
CTG-BUS-056,Gymnasio - Estetica - Peluqueria,10.4429177, -75.5209599,America/Bogota,
CTG-BUS-057,Rancho Paisa,10.4430306, -75.5237845,America/Bogota,
CTG-BUS-058,Hotel Corales de Indias,10.442952, -75.525055,America/Bogota,
CTG-BUS-059,Global Center,10.4387257, -75.531417,America/Bogota,
CTG-BUS-060,Hotel Bellavista,10.4354551, -75.5382958,America/Bogota,
CTG-BUS-061,Parque entrada al Cabrero,10.433995, -75.540752,America/Bogota,
CTG-BUS-062,Frente Hostal Costa Azul,10.432758, -75.5431799,America/Bogota,
CTG-BUS-063,Parque Apolo,10.4307347, -75.5449168,America/Bogota,
CTG-BUS-064,Boquete San Diego,10.4284323, -75.5448891,America/Bogota,
CTG-BUS-065,Hospital Naval,10.4159013, -75.5510352,America/Bogota,
CTG-BUS-066,Supermercado Olimpica,10.4103642, -75.550579,America/Bogota,
CTG-BUS-067,Muebles y Diseños Ambientes - GMO,10.4071923, -75.5517745,America/Bogota,
CTG-BUS-068,Crepes,10.4050793, -75.55361,America/Bogota,
CTG-BUS-069,Mizkha - Edificio Kanoa,10.4028279, -75.5555069,America/Bogota,
CTG-BUS-070,El punto multiple del sabor,10.4011747, -75.5571013,America/Bogota,
CTG-BUS-071,Drogueria Inglesa(Ultima parada ida),10.3992129, -75.5593141,America/Bogota,
