"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone","agency_fare_url","agency_email"
"SITVA-0","Sistema Alimentador Oriental S.A.S.","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-1","Cootrabel","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-2","Invetrans","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-3","Rápido San Cristóbal","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-4","Coinvetrans","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-5","Masivo de Occidente","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-6","Autobuses Poblado Laureles","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-7","Coonatra","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-8","Cootransblan","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-9","Santra","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-10","Cootrasana","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-11","Flota la V","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-12","Cootranscataluña","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-13","Flota la Milagrosa","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-14","Translamaya","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-15","Flota Nueva Villa","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-16","Coometropol","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-17","Palenque Robledal","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-18","Transporte Medellín Castilla","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-19","Cootracovi","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-20","Tax Maya","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-21","Copatra","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-22","Cootransi","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-23","Combuses","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-24","Transconor","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-25","Transporte Aranjuez Santa Cruz","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-26","Coopcerquin","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-27","Autocol","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-28","Expreso Campo Valdés","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-29","Coopetransa","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-30","Cootranscol","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-31","Cootranspinal","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-32","Cootransmallat","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-33","Conducciones América","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-34","Metrosan","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-35","Cootransvi","https://planner.colombiainfo.org","America/Bogota","3","","",""
"SITVA-36","Transacoop","https://planner.colombiainfo.org","America/Bogota","3","","",""
