"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"031 P-C0","","","54669","1","","","","",""
"031 P-C0","","","54076","10","","","","",""
"031 P-C0","","","54068","11","","","","",""
"031 P-C0","","","54010","12","","","","",""
"031 P-C0","","","53994","13","","","","",""
"031 P-C0","","","53967","14","","","","",""
"031 P-C0","","","53945","15","","","","",""
"031 P-C0","","","53902","16","","","","",""
"031 P-C0","","","53881","17","","","","",""
"031 P-C0","","","53659","18","","","","",""
"031 P-C0","","","53592","19","","","","",""
"031 P-C0","","","54550","2","","","","",""
"031 P-C0","","","53552","20","","","","",""
"031 P-C0","","","53494","21","","","","",""
"031 P-C0","","","53419","22","","","","",""
"031 P-C0","","","53249","23","","","","",""
"031 P-C0","","","53100","24","","","","",""
"031 P-C0","","","53023","25","","","","",""
"031 P-C0","","","52946","26","","","","",""
"031 P-C1","","","53046","27","","","","",""
"031 P-C1","","","53222","28","","","","",""
"031 P-C1","","","53270","29","","","","",""
"031 P-C0","","","54537","3","","","","",""
"031 P-C1","","","53329","30","","","","",""
"031 P-C1","","","53368","31","","","","",""
"031 P-C1","","","53424","32","","","","",""
"031 P-C1","","","53525","33","","","","",""
"031 P-C1","","","53587","34","","","","",""
"031 P-C1","","","53788","35","","","","",""
"031 P-C1","","","53865","36","","","","",""
"031 P-C1","","","53888","37","","","","",""
"031 P-C1","","","53910","38","","","","",""
"031 P-C1","","","53957","39","","","","",""
"031 P-C0","","","54483","4","","","","",""
"031 P-C1","","","53976","40","","","","",""
"031 P-C1","","","54005","41","","","","",""
"031 P-C1","","","54063","42","","","","",""
"031 P-C1","","","54093","43","","","","",""
"031 P-C1","","","54066","44","","","","",""
"031 P-C1","","","54181","45","","","","",""
"031 P-C1","","","54235","46","","","","",""
"031 P-C1","","","54334","47","","","","",""
"031 P-C1","","","54393","48","","","","",""
"031 P-C1","","","54430","49","","","","",""
"031 P-C0","","","54427","5","","","","",""
"031 P-C1","","","54488","50","","","","",""
"031 P-C1","","","54537","51","","","","",""
"031 P-C1","","","54483","52","","","","",""
"031 P-C1","","","54567","53","","","","",""
"031 P-C1","","","54664","54","","","","",""
"031 P-C0","","","54399","6","","","","",""
"031 P-C0","","","54332","7","","","","",""
"031 P-C0","","","54228","8","","","","",""
"031 P-C0","","","54151","9","","","","",""
"031 P-F0","","","54669","1","","","","",""
"031 P-F0","","","54076","10","","","","",""
"031 P-F0","","","54068","11","","","","",""
"031 P-F0","","","54010","12","","","","",""
"031 P-F0","","","53994","13","","","","",""
"031 P-F0","","","53967","14","","","","",""
"031 P-F0","","","53945","15","","","","",""
"031 P-F0","","","53902","16","","","","",""
"031 P-F0","","","53881","17","","","","",""
"031 P-F0","","","53659","18","","","","",""
"031 P-F0","","","53592","19","","","","",""
"031 P-F0","","","54550","2","","","","",""
"031 P-F0","","","53552","20","","","","",""
"031 P-F0","","","53494","21","","","","",""
"031 P-F0","","","53419","22","","","","",""
"031 P-F0","","","53249","23","","","","",""
"031 P-F1","","","52967","24","","","","",""
"031 P-F1","","","52961","25","","","","",""
"031 P-F1","","","53424","26","","","","",""
"031 P-F1","","","53525","27","","","","",""
"031 P-F1","","","53587","28","","","","",""
"031 P-F1","","","53788","29","","","","",""
"031 P-F0","","","54537","3","","","","",""
"031 P-F1","","","53865","30","","","","",""
"031 P-F1","","","53888","31","","","","",""
"031 P-F1","","","53910","32","","","","",""
"031 P-F1","","","53957","33","","","","",""
"031 P-F1","","","53976","34","","","","",""
"031 P-F1","","","54005","35","","","","",""
"031 P-F1","","","54063","36","","","","",""
"031 P-F1","","","54093","37","","","","",""
"031 P-F1","","","54066","38","","","","",""
"031 P-F1","","","54181","39","","","","",""
"031 P-F0","","","54483","4","","","","",""
"031 P-F1","","","54235","40","","","","",""
"031 P-F1","","","54334","41","","","","",""
"031 P-F1","","","54393","42","","","","",""
"031 P-F1","","","54430","43","","","","",""
"031 P-F1","","","54488","44","","","","",""
"031 P-F1","","","54537","45","","","","",""
"031 P-F1","","","54483","46","","","","",""
"031 P-F1","","","54567","47","","","","",""
"031 P-F1","","","54664","48","","","","",""
"031 P-F0","","","54427","5","","","","",""
"031 P-F0","","","54399","6","","","","",""
"031 P-F0","","","54332","7","","","","",""
"031 P-F0","","","54228","8","","","","",""
"031 P-F0","","","54151","9","","","","",""
"031 P-SD0","","","54669","1","","","","",""
"031 P-SD0","","","54076","10","","","","",""
"031 P-SD0","","","54068","11","","","","",""
"031 P-SD0","","","54010","12","","","","",""
"031 P-SD0","","","53994","13","","","","",""
"031 P-SD0","","","53967","14","","","","",""
"031 P-SD0","","","53945","15","","","","",""
"031 P-SD0","","","53902","16","","","","",""
"031 P-SD0","","","53881","17","","","","",""
"031 P-SD0","","","53659","18","","","","",""
"031 P-SD0","","","53592","19","","","","",""
"031 P-SD0","","","54550","2","","","","",""
"031 P-SD0","","","53552","20","","","","",""
"031 P-SD0","","","53494","21","","","","",""
"031 P-SD0","","","53419","22","","","","",""
"031 P-SD0","","","53249","23","","","","",""
"031 P-SD0","","","53100","24","","","","",""
"031 P-SD0","","","53023","25","","","","",""
"031 P-SD0","","","52946","26","","","","",""
"031 P-SD0","","","53046","27","","","","",""
"031 P-SD0","","","53044","28","","","","",""
"031 P-SD0","","","52898","29","","","","",""
"031 P-SD0","","","54537","3","","","","",""
"031 P-SD1","","","52922","30","","","","",""
"031 P-SD1","","","53087","31","","","","",""
"031 P-SD1","","","53222","32","","","","",""
"031 P-SD1","","","53270","33","","","","",""
"031 P-SD1","","","53329","34","","","","",""
"031 P-SD1","","","53368","35","","","","",""
"031 P-SD1","","","53424","36","","","","",""
"031 P-SD1","","","53525","37","","","","",""
"031 P-SD1","","","53587","38","","","","",""
"031 P-SD1","","","53788","39","","","","",""
"031 P-SD0","","","54483","4","","","","",""
"031 P-SD1","","","53865","40","","","","",""
"031 P-SD1","","","53888","41","","","","",""
"031 P-SD1","","","53910","42","","","","",""
"031 P-SD1","","","53957","43","","","","",""
"031 P-SD1","","","53976","44","","","","",""
"031 P-SD1","","","54005","45","","","","",""
"031 P-SD1","","","54063","46","","","","",""
"031 P-SD1","","","54093","47","","","","",""
"031 P-SD1","","","54066","48","","","","",""
"031 P-SD1","","","54181","49","","","","",""
"031 P-SD0","","","54427","5","","","","",""
"031 P-SD1","","","54235","50","","","","",""
"031 P-SD1","","","54334","51","","","","",""
"031 P-SD1","","","54393","52","","","","",""
"031 P-SD1","","","54430","53","","","","",""
"031 P-SD1","","","54488","54","","","","",""
"031 P-SD1","","","54537","55","","","","",""
"031 P-SD1","","","54483","56","","","","",""
"031 P-SD1","","","54567","57","","","","",""
"031 P-SD1","","","54664","58","","","","",""
"031 P-SD0","","","54399","6","","","","",""
"031 P-SD0","","","54332","7","","","","",""
"031 P-SD0","","","54228","8","","","","",""
"031 P-SD0","","","54151","9","","","","",""
"041D0","","","54280","1","","","","",""
"041D0","","","53966","10","","","","",""
"041D0","","","53929","11","","","","",""
"041D0","","","53814","12","","","","",""
"041D0","","","53564","13","","","","",""
"041D0","","","53580","14","","","","",""
"041D0","","","53535","15","","","","",""
"041D0","","","53516","16","","","","",""
"041D0","","","53487","17","","","","",""
"041D0","","","53460","18","","","","",""
"041D0","","","53421","19","","","","",""
"041D0","","","54273","2","","","","",""
"041D0","","","53381","20","","","","",""
"041D0","","","53363","21","","","","",""
"041D0","","","53313","22","","","","",""
"041D0","","","53288","23","","","","",""
"041D0","","","53316","24","","","","",""
"041D0","","","53438","25","","","","",""
"041D0","","","53584","26","","","","",""
"041D0","","","53456","27","","","","",""
"041D0","","","53306","28","","","","",""
"041D1","","","53446","29","","","","",""
"041D0","","","54227","3","","","","",""
"041D1","","","53625","30","","","","",""
"041D1","","","53685","31","","","","",""
"041D1","","","53862","32","","","","",""
"041D1","","","54139","33","","","","",""
"041D1","","","54199","34","","","","",""
"041D1","","","54242","35","","","","",""
"041D1","","","54322","36","","","","",""
"041D1","","","54379","37","","","","",""
"041D1","","","54414","38","","","","",""
"041D0","","","54185","4","","","","",""
"041D0","","","54180","5","","","","",""
"041D0","","","54207","6","","","","",""
"041D0","","","54130","7","","","","",""
"041D0","","","54109","8","","","","",""
"041D0","","","54115","9","","","","",""
"041I0","","","54409","1","","","","",""
"041I0","","","53306","10","","","","",""
"041I1","","","53446","11","","","","",""
"041I1","","","53625","12","","","","",""
"041I1","","","53595","13","","","","",""
"041I1","","","53461","14","","","","",""
"041I1","","","53543","15","","","","",""
"041I1","","","53627","16","","","","",""
"041I1","","","53667","17","","","","",""
"041I1","","","53679","18","","","","",""
"041I1","","","53663","19","","","","",""
"041I0","","","54374","2","","","","",""
"041I1","","","53652","20","","","","",""
"041I1","","","53646","21","","","","",""
"041I1","","","53570","22","","","","",""
"041I1","","","53613","23","","","","",""
"041I1","","","53680","24","","","","",""
"041I1","","","53660","25","","","","",""
"041I1","","","53648","26","","","","",""
"041I1","","","53745","27","","","","",""
"041I1","","","53834","28","","","","",""
"041I1","","","53951","29","","","","",""
"041I0","","","54321","3","","","","",""
"041I1","","","53982","30","","","","",""
"041I1","","","54039","31","","","","",""
"041I1","","","54102","32","","","","",""
"041I1","","","54163","33","","","","",""
"041I1","","","54222","34","","","","",""
"041I1","","","54278","35","","","","",""
"041I1","","","54286","36","","","","",""
"041I1","","","54319","37","","","","",""
"041I0","","","54155","4","","","","",""
"041I0","","","54116","5","","","","",""
"041I0","","","54047","6","","","","",""
"041I0","","","53826","7","","","","",""
"041I0","","","53584","8","","","","",""
"041I0","","","53456","9","","","","",""
"055P0","","","55020","1","","","","",""
"055P0","","","54845","10","","","","",""
"055P1","","","54866","11","","","","",""
"055P1","","","54877","12","","","","",""
"055P1","","","54951","13","","","","",""
"055P1","","","55009","14","","","","",""
"055P1","","","55039","15","","","","",""
"055P1","","","55017","16","","","","",""
"055P1","","","55035","17","","","","",""
"055P1","","","55042","18","","","","",""
"055P1","","","55021","19","","","","",""
"055P0","","","55041","2","","","","",""
"055P0","","","55030","3","","","","",""
"055P0","","","55015","4","","","","",""
"055P0","","","55034","5","","","","",""
"055P0","","","55010","6","","","","",""
"055P0","","","54945","7","","","","",""
"055P0","","","54874","8","","","","",""
"055P0","","","54856","9","","","","",""
"080 V-330","","","54807","1","","","","",""
"080 V-330","","","53671","10","","","","",""
"080 V-330","","","53579","11","","","","",""
"080 V-330","","","52981","12","","","","",""
"080 V-331","","","52725","13","","","","",""
"080 V-331","","","52781","14","","","","",""
"080 V-331","","","53027","15","","","","",""
"080 V-331","","","53310","16","","","","",""
"080 V-331","","","53524","17","","","","",""
"080 V-331","","","53685","18","","","","",""
"080 V-331","","","53862","19","","","","",""
"080 V-330","","","54825","2","","","","",""
"080 V-331","","","54152","20","","","","",""
"080 V-331","","","54404","21","","","","",""
"080 V-331","","","54485","22","","","","",""
"080 V-331","","","54509","23","","","","",""
"080 V-330","","","54747","3","","","","",""
"080 V-330","","","54484","4","","","","",""
"080 V-330","","","54476","5","","","","",""
"080 V-330","","","54402","6","","","","",""
"080 V-330","","","54314","7","","","","",""
"080 V-330","","","53944","8","","","","",""
"080 V-330","","","53807","9","","","","",""
"080 V-M0","","","54807","1","","","","",""
"080 V-M0","","","53671","10","","","","",""
"080 V-M0","","","53579","11","","","","",""
"080 V-M0","","","52981","12","","","","",""
"080 V-M1","","","53051","13","","","","",""
"080 V-M1","","","53310","14","","","","",""
"080 V-M1","","","53524","15","","","","",""
"080 V-M1","","","53685","16","","","","",""
"080 V-M1","","","53862","17","","","","",""
"080 V-M1","","","54152","18","","","","",""
"080 V-M1","","","54404","19","","","","",""
"080 V-M0","","","54825","2","","","","",""
"080 V-M1","","","54485","20","","","","",""
"080 V-M1","","","54509","21","","","","",""
"080 V-M0","","","54747","3","","","","",""
"080 V-M0","","","54484","4","","","","",""
"080 V-M0","","","54476","5","","","","",""
"080 V-M0","","","54402","6","","","","",""
"080 V-M0","","","54314","7","","","","",""
"080 V-M0","","","53944","8","","","","",""
"080 V-M0","","","53807","9","","","","",""
"080 V-O0","","","54807","1","","","","",""
"080 V-O0","","","53671","10","","","","",""
"080 V-O0","","","53579","11","","","","",""
"080 V-O1","","","53310","12","","","","",""
"080 V-O1","","","53524","13","","","","",""
"080 V-O1","","","53685","14","","","","",""
"080 V-O1","","","53862","15","","","","",""
"080 V-O1","","","54152","16","","","","",""
"080 V-O1","","","54404","17","","","","",""
"080 V-O1","","","54485","18","","","","",""
"080 V-O1","","","54509","19","","","","",""
"080 V-O0","","","54825","2","","","","",""
"080 V-O0","","","54747","3","","","","",""
"080 V-O0","","","54484","4","","","","",""
"080 V-O0","","","54476","5","","","","",""
"080 V-O0","","","54402","6","","","","",""
"080 V-O0","","","54314","7","","","","",""
"080 V-O0","","","53944","8","","","","",""
"080 V-O0","","","53807","9","","","","",""
"082 V-LA0","","","54825","1","","","","",""
"082 V-LA0","","","53986","10","","","","",""
"082 V-LA0","","","53786","11","","","","",""
"082 V-LA0","","","53665","12","","","","",""
"082 V-LA0","","","53628","13","","","","",""
"082 V-LA0","","","53498","14","","","","",""
"082 V-LA1","","","53371","15","","","","",""
"082 V-LA1","","","53512","16","","","","",""
"082 V-LA1","","","53750","17","","","","",""
"082 V-LA1","","","53964","18","","","","",""
"082 V-LA1","","","54062","19","","","","",""
"082 V-LA0","","","54747","2","","","","",""
"082 V-LA1","","","54132","20","","","","",""
"082 V-LA1","","","54317","21","","","","",""
"082 V-LA1","","","54404","22","","","","",""
"082 V-LA1","","","54485","23","","","","",""
"082 V-LA1","","","54651","24","","","","",""
"082 V-LA1","","","54676","25","","","","",""
"082 V-LA1","","","54805","26","","","","",""
"082 V-LA0","","","54484","3","","","","",""
