"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code","agency_email"
"50001","","CR 218 x CL 130, Medellin","America/Bogota","-75.703118702655701","6.344835130278994","","","","","America/Bogota","","","",""
"50008","","CR 197 x CL 140, Medellin","America/Bogota","-75.694944097595396","6.350528137461649","","","","","America/Bogota","","","",""
"50015","","CL 137 197-03, Medellin","America/Bogota","-75.69071078153857","6.343357352730323","","","","","America/Bogota","","","",""
"50016","","CR 195 x CL 126, Medellin","America/Bogota","-75.689634440342658","6.337196892887022","","","","","America/Bogota","","","",""
"50045","","CR 151AB x CL 107, Medellin","America/Bogota","-75.660507116226484","6.324755609430319","","","","","America/Bogota","","","",""
"50046","","CL 112 107-901, Medellin","America/Bogota","-75.66044556327364","6.324788721359075","","","","","America/Bogota","","","",""
"50047","","CL 63 x CR 153, Medellin","America/Bogota","-75.660250651535776","6.282517450453979","","","","","America/Bogota","","","",""
"50048","","CL 63 153-770, Medellin","America/Bogota","-75.660247084467628","6.282571617083097","","","","","America/Bogota","","","",""
"50055","","CR 151AB x CL 107, Medellin","America/Bogota","-75.658759247201331","6.321952127623888","","","","","America/Bogota","","","",""
"50057","","CR 151AB x CL 107, Medellin","America/Bogota","-75.658502160542781","6.320836051143697","","","","","America/Bogota","","","",""
"50058","","CL 63 x CR 153, Medellin","America/Bogota","-75.658301738151366","6.281624811074499","","","","","America/Bogota","","","",""
"50061","","CL 63 x CR 153, Medellin","America/Bogota","-75.658125128042542","6.281628902380561","","","","","America/Bogota","","","",""
"50066","","CR 151AB 100A-63, Medellin","America/Bogota","-75.65745587359919","6.317140122100724","","","","","America/Bogota","","","",""
"50067","","CR 151AB x CL 99AB, Medellin","America/Bogota","-75.657449627981677","6.317331904140506","","","","","America/Bogota","","","",""
"50073","","CL 63 x CR 153, Medellin","America/Bogota","-75.6567238642685","6.281079712520333","","","","","America/Bogota","","","",""
"50075","","CL 63 153-442, Medellin","America/Bogota","-75.656596327248835","6.281103576228861","","","","","America/Bogota","","","",""
