"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"C6-020","FULLWEEK","C6-020-0","San José de la Cima - Universidad","","0","","C6-020-0","0","2"
"C6-021","FULLWEEK","C6-021-0","Granizal - Tricentenario","","0","","C6-021-0","0","2"
"C6-022","FULLWEEK","C6-022-0","La Cruz - Prado","","0","","C6-022-0","0","2"
"C6-023","FULLWEEK","C6-023-0","Santa Lucía - 8 de Marzo - Estación Alejandro Echavarría","","0","","C6-023-0","0","2"
"C6-001","FULLWEEK","C6-001-0","Zamora - Acevedo","","0","","C6-001-0","0","2"
"C6-002","FULLWEEK","C6-002-0","Villa Hermosa - Hospital","","0","","C6-002-0","0","2"
"C6-003","FULLWEEK","C6-003-0","Campo Valdés - Hospital","","0","","C6-003-0","0","2"
"C6-004","FULLWEEK","C6-004-0","La Milagrosa - Exposiciones","","0","","C6-004-0","0","2"
"178","FULLWEEK","178-0","Belén La Nubia","","0","","178-0","0","2"
"304","FULLWEEK","304-0","Comercial Hotelera derecha","","0","","304-0","0","2"
"C6-006","FULLWEEK","C6-006-0","Villa Liliam - Alejandro Echavarría","","0","","C6-006-0","0","2"
"C6-007","FULLWEEK","C6-007-0","Buenos Aires - San Antonio","","0","","C6-007-0","0","2"
"C6-008","FULLWEEK","C6-008-0","La Libertad - Prado","","0","","C6-008-0","0","2"
"C6-009","FULLWEEK","C6-009-0","Enciso - Prado","","0","","C6-009-0","0","2"
"C6-010A","FULLWEEK","C6-010A-0","Villatina - Alejandro Echavarría","","0","","C6-010A-0","0","2"
"255A","FULLWEEK","255A-0","Las Flores-Moravia-Centro","","0","","255A-0","0","2"
"C6-010","FULLWEEK","C6-010-0","Villatina - Parque Berrío","","0","","C6-010-0","0","2"
"C6-011","FULLWEEK","C6-011-0","Popular N° 2 - El Playón - Acevedo","","0","","C6-011-0","0","2"
"C6-012","FULLWEEK","C6-012-0","La Francia - Acevedo","","0","","C6-012-0","0","2"
"C6-013","FULLWEEK","C6-013-0","Popular N° 1 - Tricentenario","","0","","C6-013-0","0","2"
"C6-015","FULLWEEK","C6-015-0","Granizal - Hospital","","0","","C6-015-0","0","2"
"C6-016","FULLWEEK","C6-016-0","Nuevo Horizonte - Hospital","","0","","C6-016-0","0","2"
"C6-018","FULLWEEK","C6-018-0","Santa Cecilia - Tricentenario","","0","","C6-018-0","0","2"
"309","FULLWEEK","309-0","Ruta de la Salud izquierda","","0","","309-0","0","2"
"C6-024","FULLWEEK","C6-024-0","8 de Marzo - Santa Lucía - Estación Alejandro Echavarría","","0","","C6-024-0","0","2"
"C6-025","FULLWEEK","C6-025-0","La Espadera - 8 de Marzo - Oriente","","0","","C6-025-0","0","2"
"C3-001","FULLWEEK","C3-001-0","Santa Gema - La Mota - Aguacatala","","0","","C3-001-0","0","2"
"C3-001A","FULLWEEK","C3-001A-0","Santa Gema - La Mota - Aguacatala","","0","","C3-001A-0","0","2"
"C3-002","FULLWEEK","C3-002-0","Aguacatala - Bulerías","","0","","C3-002-0","0","2"
"302","FULLWEEK","302-0","Circular izquierda 302","","0","","302-0","0","2"
"300","FULLWEEK","300-0","Circular","","0","","300-0","0","2"
"310","FULLWEEK","310-0","Circular","","0","","310-0","0","2"
"311","FULLWEEK","311-0","Circular","","0","","311-0","0","2"
"246C","FULLWEEK","246C-0","Blanquizal Calazanía","","0","","246C-0","0","2"
"305","FULLWEEK","305-0","Comercial Hotelera izquierda","","0","","305-0","0","2"
"308","FULLWEEK","308-0","Ruta de la Salud derecha","","0","","308-0","0","2"
"316","FULLWEEK","316-0","Circular 316","","0","","316-0","0","2"
"309D","FULLWEEK","309D-0","Ruta de la Salud izquierda directa","","0","","309D-0","0","2"
"255V5","FULLWEEK","255V5-0","La Cuchilla","","0","","255V5-0","0","2"
"255I","FULLWEEK","255I-0","El Llano","","0","","255I-0","0","2"
"255 V3 HOR ESP","FULLWEEK","255 V3 HOR ESP-0","Boqueron Centro Horario Especial","","0","","255 V3 HOR ESP-0","0","2"
"308D","FULLWEEK","308D-0","Ruta de la Salud derecha directa","","0","","308D-0","0","2"
"190","FULLWEEK","190-0","Laureles Parque","","0","","190-0","0","2"
"C3-003P","FULLWEEK","C3-003P-0","Belén - Piscina - Aula Ambiental","","0","","C3-003P-0","0","2"
"C3-003R","FULLWEEK","C3-003R-0","Belén - Rodeo Alto - Rodeo Verde","","0","","C3-003R-0","0","2"
"C3-003RV","FULLWEEK","C3-003RV-0","Ruta Alimentadora - Cuenca 3","","0","","C3-003RV-0","0","2"
"C3-003","FULLWEEK","C3-003-0","Belén - Manzanillo","","0","","C3-003-0","0","2"
"C3-004","FULLWEEK","C3-004-0","Belén Altavista - Los Alpes","","0","","C3-004-0","0","2"
"C3-005","FULLWEEK","C3-005-0","Belén Aguas Frías - U de M","","0","","C3-005-0","0","2"
"C3-006","FULLWEEK","C3-006-0","Las Violetas - Villa Café - U de M","","0","","C3-006-0","0","2"
"C3-007","FULLWEEK","C3-007-0","Loma de los Bernal - La Palma","","0","","C3-007-0","0","2"
"C3-007A","FULLWEEK","C3-007A-0","Loma de los Bernal - Aliadas - La Palma","","0","","C3-007A-0","0","2"
"C3-008","FULLWEEK","C3-008-0","Rosales - Belén Rincón","","0","","C3-008-0","0","2"
"303","FULLWEEK","303-0","Circular derecha 303","","0","","303-0","0","2"
"135A","FULLWEEK","135A-0","Poblado_Campestre","","0","","135A-0","0","2"
"317 Aguacatala","FULLWEEK","317 Aguacatala-0","317 Aguacatala","","0","","317 Aguacatala-0","0","2"
"97","FULLWEEK","97-0","Cauces-Quintalinda","","0","","97-0","0","2"
"102D","FULLWEEK","102D-0","Ávila-Iglesia Cataluña","","0","","102D-0","0","2"
"318B","FULLWEEK","318B-0","San Antonio de Prado bus Barichara-Limonar","","0","","318B-0","0","2"
"318B","FULLWEEK","318B-0","San Antonio de Prado bus La Verde-Los Rieles","","0","","318B-0","0","2"
"318M","FULLWEEK","318M-0","San Antonio de Prado micro","","0","","318M-0","0","2"
"319M","FULLWEEK","319M-0","San Antonio de Prado El Vergel micro","","0","","319M-0","0","2"
"319i","FULLWEEK","319i-0","San Antonio de Prado El Vergel estación Sabaneta","","0","","319i-0","0","2"
"Ruta 1","FULLWEEK","Ruta 1-0","Barichara - Pradito","","0","","Ruta 1-0","0","2"
"Ruta 10","FULLWEEK","Ruta 10-0","Integrada El Vergel","","0","","Ruta 10-0","0","2"
"319B","FULLWEEK","319B-0","San Antonio de Prado","","0","","319B-0","0","2"
"319B","FULLWEEK","319B-0","San Antonio de Prado El Vergel-Naranjito bus","","0","","319B-0","0","2"
"111","FULLWEEK","111-0","El Salvador derecho","","0","","111-0","0","2"
"140","FULLWEEK","140-0","Guayabal Cristo Rey N°1","","0","","140-0","0","2"
"110","FULLWEEK","110-0","La Milagrosa","","0","","110-0","0","2"
"113","FULLWEEK","113-0","Ávila - Cataluña","","0","","113-0","0","2"
"113M","FULLWEEK","113M-0","Pablo E.","","0","","113M-0","0","2"
"143","FULLWEEK","143-0","La Colinita","","0","","143-0","0","2"
"317i","FULLWEEK","317i-0","Limonar estación Itagüí","","0","","317i-0","0","2"
"81","FULLWEEK","81-0","Villa Hermosa - Derecho","","0","","81-0","0","2"
"082 V-LA","FULLWEEK","082 V-LA-0","Villa Hermosa - Los Ángeles","","0","","082 V-LA-0","0","2"
"317 1-2","FULLWEEK","317 1-2-0","San Antonio de Prado El Limonar","","0","","317 1-2-0","0","2"
"317 2-1","FULLWEEK","317 2-1-0","San Antonio de Prado El Limonar","","0","","317 2-1-0","0","2"
"Ruta 11","FULLWEEK","Ruta 11-0","Villa Loma","","0","","Ruta 11-0","0","2"
"Ruta 12","FULLWEEK","Ruta 12-0","El Salado","","0","","Ruta 12-0","0","2"
"Ruta 13","FULLWEEK","Ruta 13-0","Montañita","","0","","Ruta 13-0","0","2"
"160","FULLWEEK","160-0","Trinidad-Parque Berrío","","0","","160-0","0","2"
"160i","FULLWEEK","160i-0","Terminal del Sur estación Industriales","","0","","160i-0","0","2"
"161","FULLWEEK","161-0","Trinidad-Parque Berrío-Minorista","","0","","161-0","0","2"
"246ii","FULLWEEK","246ii-0","Blanquizal integrada","","0","","246ii-0","0","2"
"250AiP","FULLWEEK","250AiP-0","Pajarito integrada","","0","","250AiP-0","0","2"
"250Aii","FULLWEEK","250Aii-0","Tulipanes La Huerta integrada","","0","","250Aii-0","0","2"
"250R","FULLWEEK","250R-0","Robledales","","0","","250R-0","0","2"
"251","FULLWEEK","251-0","Margaritas","","0","","251-0","0","2"
"304","FULLWEEK","304-1","Comercial Hotelera derecha","","1","","304-1","0","2"
"255A","FULLWEEK","255A-1","Las Flores-Moravia-Centro","","1","","255A-1","0","2"
"250iR","FULLWEEK","250iR-0","Robledal integrada","","0","","250iR-0","0","2"
"252","FULLWEEK","252-0","Kennedy","","0","","252-0","0","2"
"260C","FULLWEEK","260C-0","Córdoba","","0","","260C-0","0","2"
"260BR","FULLWEEK","260BR-0","Brisas","","0","","260BR-0","0","2"
"250iVF","FULLWEEK","250iVF-0","Villa Flora integrada","","0","","250iVF-0","0","2"
"250AH","FULLWEEK","250AH-0","La Huerta","","0","","250AH-0","0","2"
"250M","FULLWEEK","250M-0","Moravia","","0","","250M-0","0","2"
