X,Y,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,OBJECTID
-75.595103451453298,6.270126411034812,51751,90006029,90006,29,"CR 80 x CL 55, Medellin",Reglamentaria,Origen-Destino,301,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,57
-75.567365558392623,6.245189353927873,53310,90008034,90008,34,"CR 46 45-34, Medellin",Reglamentaria,Origen-Destino,311,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,70
-75.58830066487333,6.21585576329834,52037,90009052,90009,52,"CL 8B x CR 6, Medellin",Reglamentaria,Destino-Origen,304,Comercial Hotelera derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,47
-75.570522144757362,6.252949741500865,53100,90010061,90010,61,"CR 54 52-49, Medellin",Reglamentaria,Destino-Origen,305,Comercial Hotelera izquierda,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,53
-75.580601336637187,6.281697234161528,52440,90011067,90011,67,"CL 80 74-24, Medellin",Reglamentaria,Destino-Origen,308,Ruta de la Salud derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,64
-75.597780295435754,6.266221459032044,51616,90013022,90013,22,"CL 52B 81-50, Medellin",Reglamentaria,Origen-Destino,309,Ruta de la Salud izquierda,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,66
-75.601079911759044,6.266955366380618,51438,90014024,90014,24,"CL 51 83-96, Medellin",Reglamentaria,Origen-Destino,309D,Ruta de la Salud izquierda directa,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,60
-75.584776278508144,6.259831079352434,52200,90057025,90057,25,"CL 51A 67B-246, Medellin",Reglamentaria,Destino-Origen,246,Blanquizal,2A,Directa Centro,Cootransblan,52
-75.604188277976434,6.276341070624884,51244,90059027,90059,27,"CL 62 x CR 80, Medellin",Reglamentaria,Destino-Origen,246D,Blanquizal Calazanía directa,2A,Directa Centro,Cootransblan,55
-75.598331027892442,6.258942510752668,51587,90063013,90063,13,"CL 48 x CR 80, Medellin",Reglamentaria,Origen-Destino,246i,Blanquizal integrada,2A,Integrada,Cootransblan,69
-75.598331027892442,6.258942510752668,51587,90064016,90064,16,"CL 48 x CR 80, Medellin",Reglamentaria,Origen-Destino,246ii,Blanquizal integrada,2A,Integrada,Cootransblan,50
-75.605983631344714,6.281790932208303,51156,90065004,90065,4,"CL 64A 94C-42, Medellin",Reglamentaria,Origen-Destino,250AiP,Pajarito integrada,2A,Integrada,Palenque Robledal,63
-75.596080775048407,6.283837192410704,51713,90067040,90067,40,"CL 76 89C-98, Medellin",Reglamentaria,Destino-Origen,250R,Robledales,2A,Directa Centro,Palenque Robledal,71
-75.5930361422987,6.273115847545037,51825,90068018,90068,18,"CR 80 64A-12, Medellin",Reglamentaria,Destino-Origen,250iVF,Villa Flora integrada,2A,Integrada,Palenque Robledal,59
-75.589966124038099,6.27674985590684,51979,90076011,90076,11,"CR 80 x CL 75, Medellin",Reglamentaria,Origen-Destino,253D,Aures derecha,2A,Directa Centro,Palenque Robledal,51
-75.582370313562777,6.303016993459948,52348,90080002,90080,2,"CR 84 101CG-21, Medellin",Reglamentaria,Origen-Destino,254,Picacho,2A,Directa Centro,Transporte Medellín Castilla ,68
-75.589966124038099,6.27674985590684,51979,90081027,90081,27,"CR 80 x CL 75, Medellin",Reglamentaria,Origen-Destino,255A,Nuevo Occidente-Las Flores,2A,Directa Centro,Rápido San Cristóbal,49
-75.591023448304895,6.275555100011785,51934,90083024,90083,24,"DG 80A 65-435, Medellin",Reglamentaria,Origen-Destino,255,San Cristóbal - Doña María,2A,Directa Centro,Rápido San Cristóbal,67
-75.636366844300596,6.278327486606678,50360,90084004,90084,4,"CR 131 62-59, Medellin",Reglamentaria,Origen-Destino,255i,Metrocable Aurora-Cárcel,2A,Integrada,Rápido San Cristóbal,48
-75.587215847363481,6.26427812513477,52099,90086024,90086,24,"CL 55 x CR 73, Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,61
-75.650730967721628,6.295304680759553,50147,90090014,90090,14,"CR 151 75A-175, Medellin",Reglamentaria,Destino-Origen,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,56
-75.584613988729643,6.280971049247666,52207,90094012,90094,12,"CL 78B 75-181, Medellin",Reglamentaria,Origen-Destino,260CL,Clínica,2A,Directa Centro,Palenque Robledal,54
-75.579146941767206,6.254990742821661,52521,90099024,90099,24,"CL 50 x CR 63, Medellin",Reglamentaria,Origen-Destino,267,Éxito,2A,Directa Centro,Palenque Robledal,58
-75.595763854931931,6.268041459349551,51725,90101017,90101,17,"CR 80 53A-47, Medellin",Reglamentaria,Origen-Destino,288,Doce de Octubre,2A,Directa Centro,Transporte Medellín Castilla ,62
-75.572610510262678,6.309229052661291,52938,90104004,90104,4,"CL 112 76C-29, Medellin",Reglamentaria,Origen-Destino,261A,Alfonso López - Viejo Terminal,2B,Directa Centro,Transporte Medellín Castilla ,917
-75.57200465744576,6.308155109258528,52994,90104005,90104,5,"CR 76 110-07, Medellin",Reglamentaria,Origen-Destino,261A,Alfonso López - Viejo Terminal,2B,Directa Centro,Transporte Medellín Castilla ,788
-75.572012249308059,6.306327534521101,52993,90104006,90104,6,"CR 76 107A-19, Medellin",Reglamentaria,Origen-Destino,261A,Alfonso López - Viejo Terminal,2B,Directa Centro,Transporte Medellín Castilla ,352
-75.573862610748591,6.27113722287564,52853,90104025,90104,25,"CR 64C 72-51, Medellin",Reglamentaria,Origen-Destino,261A,Alfonso López - Viejo Terminal,2B,Directa Centro,Transporte Medellín Castilla ,65
