agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
SITVA-0,Sistema Alimentador Oriental S.A.S.,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-1,Masivo de Occidente,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-2,Autobuses Poblado Laureles,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-3,Combuses,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-4,Coonatra,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-5,Invetrans,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-6,Coinvetrans,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-7,Santra,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-8,Cootrasana,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-9,Translamaya,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-10,Coometropol,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-11,Cootransblan,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-12,Palenque Robledal,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-13,Rápido San Cristóbal,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-14,Transporte Medellín Castilla,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-15,Cootrabel,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-16,Flota la V,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-17,Coopcerquin,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-18,Transconor,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-19,Transporte Aranjuez Santa Cruz,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-20,Cootranscataluña,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-21,Flota la Milagrosa,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-22,Copatra,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-23,Expreso Campo Valdés,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-24,Flota Nueva Villa,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-25,Cootracovi,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-26,Cootranscol,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-27,Coopetransa,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-28,Cootranspinal,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-29,Autocol,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-30,Cootransi,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-31,Cootransvi,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-32,Cootransmallat,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-33,Transacoop,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-34,Tax Maya,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-35,Conducciones América,https://www.planner.colombiainfo.org,America/Bogota,3,,,
SITVA-36,Metrosan,https://www.planner.colombiainfo.org,America/Bogota,3,,,
