"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"C6-020","Sitva-0","C6-020","San José de la Cima - Universidad","Alimentadora","3","","","",""
"C6-021","Sitva-0","C6-021","Granizal - Tricentenario","Alimentadora","3","","","",""
"C6-022","Sitva-0","C6-022","La Cruz - Prado","Alimentadora","3","","","",""
"C6-023","Sitva-0","C6-023","Santa Lucía - 8 de Marzo - Estación Alejandro Echavarría","Alimentadora","3","","","",""
"C6-001","Sitva-0","C6-001","Zamora - Acevedo","Alimentadora","3","","","",""
"C6-002","Sitva-0","C6-002","Villa Hermosa - Hospital","Alimentadora","3","","","",""
"C6-003","Sitva-0","C6-003","Campo Valdés - Hospital","Alimentadora","3","","","",""
"C6-004","Sitva-0","C6-004","La Milagrosa - Exposiciones","Alimentadora","3","","","",""
"C6-005","Sitva-0","C6-005","Cerros el Vergel - San José","Alimentadora","3","","","",""
"C6-005A","Sitva-0","C6-005A","Quinta Linda - San José","Alimentadora","3","","","",""
"C6-006","Sitva-0","C6-006","Villa Liliam - Alejandro Echavarría","Alimentadora","3","","","",""
"C6-007","Sitva-0","C6-007","Buenos Aires - San Antonio","Alimentadora","3","","","",""
"C6-008","Sitva-0","C6-008","La Libertad - Prado","Alimentadora","3","","","",""
"C6-009","Sitva-0","C6-009","Enciso - Prado","Alimentadora","3","","","",""
"C6-010A","Sitva-0","C6-010A","Villatina - Alejandro Echavarría","Alimentadora","3","","","",""
"C6-010","Sitva-0","C6-010","Villatina - Parque Berrío","Alimentadora","3","","","",""
"C6-011","Sitva-0","C6-011","Popular N° 2 - El Playón - Acevedo","Alimentadora","3","","","",""
"C6-012","Sitva-0","C6-012","La Francia - Acevedo","Alimentadora","3","","","",""
"C6-013","Sitva-0","C6-013","Popular N° 1 - Tricentenario","Alimentadora","3","","","",""
"C6-015","Sitva-0","C6-015","Granizal - Hospital","Alimentadora","3","","","",""
"C6-016","Sitva-0","C6-016","Nuevo Horizonte - Hospital","Alimentadora","3","","","",""
"C6-018","Sitva-0","C6-018","Santa Cecilia - Tricentenario","Alimentadora","3","","","",""
"C6-019","Sitva-0","C6-019","El Raizal - Jardín - Gardel","Alimentadora","3","","","",""
"C6-019A","Sitva-0","C6-019A","El Raizal - Jardín - Gardel","Alimentadora","3","","","",""
"C6-024","Sitva-0","C6-024","8 de Marzo - Santa Lucía - Estación Alejandro Echavarría","Alimentadora","3","","","",""
"C6-025","Sitva-0","C6-025","La Espadera - 8 de Marzo - Oriente","Alimentadora","3","","","",""
"C3-001","Sitva-1","C3-001","Santa Gema - La Mota - Aguacatala","Alimentadora","3","","","",""
"C3-001A","Sitva-1","C3-001A","Santa Gema - La Mota - Aguacatala","Alimentadora","3","","","",""
"C3-002","Sitva-1","C3-002","Aguacatala - Bulerías","Alimentadora","3","","","",""
"302","Sitva-2","302","Circular izquierda 302","Circular","3","","","",""
"313","Sitva-3","313","Terminal del Norte-Terminal del Sur","Circular","3","","","",""
"300","Sitva-4","300","Circular","Circular","3","","","",""
"301","Sitva-4","301","Circular","Circular","3","","","",""
"310","Sitva-4","310","Circular","Circular","3","","","",""
"311","Sitva-4","311","Circular","Circular","3","","","",""
"304","Sitva-5","304","Comercial Hotelera derecha","Circular","3","","","",""
"305","Sitva-5","305","Comercial Hotelera izquierda","Circular","3","","","",""
"308","Sitva-6","308","Ruta de la Salud derecha","Circular","3","","","",""
"309D","Sitva-6","309D","Ruta de la Salud izquierda directa","Circular","3","","","",""
"315","Sitva-7","315","Circular 315","Circular","3","","","",""
"316","Sitva-7","316","Circular 316","Circular","3","","","",""
"308D","Sitva-6","308D","Ruta de la Salud derecha directa","Circular","3","","","",""
"309","Sitva-6","309","Ruta de la Salud izquierda","Circular","3","","","",""
"C3-003P","Sitva-1","C3-003P","Belén - Piscina - Aula Ambiental","Alimentadora","3","","","",""
"C3-003R","Sitva-1","C3-003R","Belén - Rodeo Alto - Rodeo Verde","Alimentadora","3","","","",""
"C3-003RV","Sitva-1","C3-003RV","Ruta Alimentadora - Cuenca 3","Alimentadora","3","","","",""
"C3-003","Sitva-1","C3-003","Belén - Manzanillo","Alimentadora","3","","","",""
"C3-004","Sitva-1","C3-004","Belén Altavista - Los Alpes","Alimentadora","3","","","",""
"C3-005","Sitva-1","C3-005","Belén Aguas Frías - U de M","Alimentadora","3","","","",""
"C3-006","Sitva-1","C3-006","Las Violetas - Villa Café - U de M","Alimentadora","3","","","",""
"C3-006A","Sitva-1","C3-006A","Ruta Alimentadora - Cuenca 3","Alimentadora","3","","","",""
