OBJECTID,RECORRIDO,CODIGO,NOMBRE,SISTEMA,TIPO,EMPRESA,SHAPELEN
21,Origen-Destino,C6-020,San José de la Cima - Universidad,,Alimentadora,Sistema Alimentador Oriental S.A.S.,4431.00077701183
22,Origen-Destino,C6-021,Granizal - Tricentenario,,Alimentadora,Sistema Alimentador Oriental S.A.S.,4027.91020715917
23,Origen-Destino,C6-022,La Cruz - Prado,,Alimentadora,Sistema Alimentador Oriental S.A.S.,6668.09468404235
24,Origen-Destino,C6-023,Santa Lucía - 8 de Marzo - Estación Alejandro Echavarría,,Alimentadora,Sistema Alimentador Oriental S.A.S.,1537.59190613747
1,Origen-Destino,C6-001,Zamora - Acevedo,,Alimentadora,Sistema Alimentador Oriental S.A.S.,2370.88368437929
2,Origen-Destino,C6-002,Villa Hermosa - Hospital,,Alimentadora,Sistema Alimentador Oriental S.A.S.,5507.36666331424
3,Origen-Destino,C6-003,Campo Valdés - Hospital,,Alimentadora,Sistema Alimentador Oriental S.A.S.,4127.43640063119
4,Origen-Destino,C6-004,La Milagrosa - Exposiciones,,Alimentadora,Sistema Alimentador Oriental S.A.S.,6709.4930233545
5,Origen-Destino,C6-005,Cerros el Vergel - San José,,Alimentadora,Sistema Alimentador Oriental S.A.S.,5298.61780085465
6,Origen-Destino,C6-005A,Quinta Linda - San José,,Alimentadora,Sistema Alimentador Oriental S.A.S.,5146.4297122586
7,Origen-Destino,C6-006,Villa Liliam - Alejandro Echavarría,,Alimentadora,Sistema Alimentador Oriental S.A.S.,1348.54508591895
8,Origen-Destino,C6-007,Buenos Aires - San Antonio,,Alimentadora,Sistema Alimentador Oriental S.A.S.,3993.62142215898
9,Origen-Destino,C6-008,La Libertad - Prado,,Alimentadora,Sistema Alimentador Oriental S.A.S.,3774.17394774905
10,Origen-Destino,C6-009,Enciso - Prado,,Alimentadora,Sistema Alimentador Oriental S.A.S.,4810.52999260901
11,Origen-Destino,C6-010A,Villatina - Alejandro Echavarría,,Alimentadora,Sistema Alimentador Oriental S.A.S.,1788.28409489303
12,Origen-Destino,C6-010,Villatina - Parque Berrío,,Alimentadora,Sistema Alimentador Oriental S.A.S.,5609.43972144198
13,Origen-Destino,C6-011,Popular N° 2 - El Playón - Acevedo,,Alimentadora,Sistema Alimentador Oriental S.A.S.,1935.23567405253
14,Origen-Destino,C6-012,La Francia - Acevedo,,Alimentadora,Sistema Alimentador Oriental S.A.S.,2322.64352481593
15,Origen-Destino,C6-013,Popular N° 1 - Tricentenario,,Alimentadora,Sistema Alimentador Oriental S.A.S.,4051.68925761357
16,Origen-Destino,C6-015,Granizal - Hospital,,Alimentadora,Sistema Alimentador Oriental S.A.S.,5025.46490841315
17,Origen-Destino,C6-016,Nuevo Horizonte - Hospital,,Alimentadora,Sistema Alimentador Oriental S.A.S.,5977.70841713498
18,Origen-Destino,C6-018,Santa Cecilia - Tricentenario,,Alimentadora,Sistema Alimentador Oriental S.A.S.,3713.00973330101
19,Origen-Destino,C6-019,El Raizal - Jardín - Gardel,,Alimentadora,Sistema Alimentador Oriental S.A.S.,2218.74563196915
20,Origen-Destino,C6-019A,El Raizal - Jardín - Gardel,,Alimentadora,Sistema Alimentador Oriental S.A.S.,2272.86615936233
25,Origen-Destino,C6-024,8 de Marzo - Santa Lucía - Estación Alejandro Echavarría,,Alimentadora,Sistema Alimentador Oriental S.A.S.,2737.14584051396
26,Origen-Destino,C6-025,La Espadera - 8 de Marzo - Oriente,,Alimentadora,Sistema Alimentador Oriental S.A.S.,3248.6887931118
27,Origen-Destino,C3-001,Santa Gema - La Mota - Aguacatala,,Alimentadora,Masivo de Occidente,6672.50203619578
28,Origen-Destino,C3-001A,Santa Gema - La Mota - Aguacatala,,Alimentadora,Masivo de Occidente,4440.35018613344
29,Origen-Destino,C3-002,Aguacatala - Bulerías,,Alimentadora,Masivo de Occidente,7475.44786626254
43,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,14545.5529293043
44,Origen-Destino,313,Terminal del Norte-Terminal del Sur,Circular 313,Circular,Combuses,27442.2483475013
45,Origen-Destino,300,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,8983.54417479934
46,Origen-Destino,301,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,19078.0839980994
47,Origen-Destino,310,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,15070.6343727244
48,Origen-Destino,311,Circular,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,11563.5974119762
49,Origen-Destino,304,Comercial Hotelera derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,8147.90286577348
50,Origen-Destino,305,Comercial Hotelera izquierda,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,27935.911599288
51,Origen-Destino,308,Ruta de la Salud derecha,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,9361.97822979526
