trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
CLOTdT-CLO,05:20:00,05:20:00,TdT-Cali,1,,,,
CLOTdT-CLO,06:50:00,06:50:00,CLO-BUS,2,,,,
CLO-CLOTdT,07:00:00,07:00:00,CLO-BUS,1,,,,
CLO-CLOTdT,07:30:00,07:30:00,TdT-Cali,2,,,,
CLOTdT-PAL,05:50:00,05:50:00,TdT-Cali,1,,,,
CLOTdT-PAL,06:30:00,06:30:00,PAL-BUS,2,,,,
PAL-CLOTdT,04:30:00,04:30:00,PAL-BUS,1,,,,
PAL-CLOTdT,05:10:00,05:10:00,TdT-Cali,2,,,,
CLOTdT-TdT-Buga,06:10:00,06:10:00,TdT-Cali,1,,,,
CLOTdT-TdT-Buga,07:10:00,07:10:00,TdT-Buga,2,,,,
TdT-Buga-CLOTdT,05:10:00,05:10:00,TdT-Buga,1,,,,
TdT-Buga-CLOTdT,06:10:00,06:10:00,TdT-Cali,2,,,,
CLOTdT-TdT-Popayan,03:45:00,03:45:00,TdT-Cali,1,,,,
CLOTdT-TdT-Popayan,07:00:00,07:00:00,TdT-Popayan,2,,,,
TdT-Popayan-CLOTdT,03:45:00,03:45:00,TdT-Popayan,1,,,,
TdT-Popayan-CLOTdT,07:00:00,07:00:00,TdT-Cali,2,,,,
CLOTdT-TdT-Tulua,06:00:00,06:00:00,TdT-Cali,1,,,,
CLOTdT-TdT-Tulua,07:30:00,07:30:00,TdT-Tulua,2,,,,
TdT-Tulua-CLOTdT,06:00:00,06:00:00,TdT-Tulua,1,,,,
TdT-Tulua-CLOTdT,07:30:00,07:30:00,TdT-Cali,2,,,,
CLOTdT-TdT-Armenia,06:00:00,06:00:00,TdT-Cali,1,,,,
CLOTdT-TdT-Armenia,08:45:00,08:45:00,TdT-Armenia,2,,,,
TdT-Armenia-CLOTdT,06:00:00,06:00:00,TdT-Armenia,1,,,,
TdT-Armenia-CLOTdT,08:45:00,08:45:00,TdT-Cali,2,,,,
CLOTdT-BOG-S26-500,05:00:00,05:00:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26-500,05:45:00,05:45:00,PAL-BUS,1,,,,
CLOTdT-BOG-S26-500,06:35:00,06:35:00,TdT-Buga,2,,,,
CLOTdT-BOG-S26-500,06:55:00,06:55:00,TdT-Tulua,3,,,,
CLOTdT-BOG-S26-500,08:45:00,09:00:00,TdT-Armenia,4,,,,
CLOTdT-BOG-S26-500,12:30:00,12:30:00,TdT-Ibaque,5,,,,
CLOTdT-BOG-S26-500,14:55:00,14:55:00,TdT-Bogota-Sur,6,,,,
CLOTdT-BOG-S26-500,15:15:00,15:15:00,TdT-Bogota-Salitre,7,,,,
CLOTdT-BOG-S26-630,06:30:00,06:30:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26-630,07:15:00,07:15:00,PAL-BUS,1,,,,
CLOTdT-BOG-S26-630,08:25:00,08:25:00,TdT-Tulua,3,,,,
CLOTdT-BOG-S26-630,10:15:00,10:15:00,TdT-Armenia,4,,,,
CLOTdT-BOG-S26-630,14:00:00,14:00:00,TdT-Ibaque,5,,,,
CLOTdT-BOG-S26-630,16:25:00,16:25:00,TdT-Bogota-Sur,6,,,,
CLOTdT-BOG-S26-630,16:45:00,16:45:00,TdT-Bogota-Salitre,7,,,,
CLOTdT-BOG-S26-930,09:30:00,09:30:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26-930,10:15:00,10:15:00,PAL-BUS,1,,,,
CLOTdT-BOG-S26-930,11:25:00,11:25:00,TdT-Tulua,3,,,,
CLOTdT-BOG-S26-930,13:15:00,13:15:00,TdT-Armenia,4,,,,
CLOTdT-BOG-S26-930,17:00:00,17:00:00,TdT-Ibaque,5,,,,
CLOTdT-BOG-S26-930,19:25:00,19:25:00,TdT-Bogota-Sur,6,,,,
CLOTdT-BOG-S26-930,19:45:00,19:45:00,TdT-Bogota-Salitre,7,,,,
CLOTdT-BOG-S26-1030,10:30:00,10:30:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26-1030,11:15:00,11:15:00,PAL-BUS,1,,,,
CLOTdT-BOG-S26-1030,12:25:00,12:25:00,TdT-Tulua,3,,,,
CLOTdT-BOG-S26-1030,14:15:00,14:15:00,TdT-Armenia,4,,,,
CLOTdT-BOG-S26-1030,18:00:00,18:00:00,TdT-Ibaque,5,,,,
CLOTdT-BOG-S26-1030,20:25:00,20:25:00,TdT-Bogota-Sur,6,,,,
CLOTdT-BOG-S26-1030,20:45:00,20:45:00,TdT-Bogota-Salitre,7,,,,
CLOTdT-BOG-S26-1230,12:30:00,12:30:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26-1230,13:15:00,13:15:00,PAL-BUS,1,,,,
CLOTdT-BOG-S26-1230,14:25:00,14:25:00,TdT-Tulua,3,,,,
CLOTdT-BOG-S26-1230,16:15:00,16:15:00,TdT-Armenia,4,,,,
CLOTdT-BOG-S26-1230,20:00:00,20:00:00,TdT-Ibaque,5,,,,
CLOTdT-BOG-S26-1230,22:25:00,22:25:00,TdT-Bogota-Sur,6,,,,
CLOTdT-BOG-S26-1230,22:45:00,22:45:00,TdT-Bogota-Salitre,7,,,,
CLOTdT-BOG-S26-1330,13:30:00,13:30:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26-1330,14:15:00,14:15:00,PAL-BUS,1,,,,
CLOTdT-BOG-S26-1330,15:05:00,15:05:00,TdT-Buga,2,,,,
CLOTdT-BOG-S26-1330,15:25:00,15:25:00,TdT-Tulua,3,,,,
CLOTdT-BOG-S26-1330,17:15:00,17:15:00,TdT-Armenia,4,,,,
CLOTdT-BOG-S26-1330,21:00:00,21:00:00,TdT-Ibaque,5,,,,
CLOTdT-BOG-S26-1330,23:25:00,23:25:00,TdT-Bogota-Sur,6,,,,
CLOTdT-BOG-S26-1330,23:45:00,23:45:00,TdT-Bogota-Salitre,7,,,,
CLOTdT-TdT-Ibaque-S26,06:30:00,06:30:00,TdT-Cali,1,,,,
CLOTdT-TdT-Ibaque-S26,10:15:00,10:30:00,TdT-Armenia,2,,,,
CLOTdT-TdT-Ibaque-S26,13:30:00,13:30:00,TdT-Ibaque,3,,,,
CLOTdT-BOG-S26M-1830,18:30:00,18:30:00,TdT-Cali,0,,,,
CLOTdT-BOG-S26M-1830,19:15:00,19:15:00,PAL-BUS,1,,,,
