route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
CLOTdT-CLO,FULLW,CLOTdT-CLO,Cali Aeropuerto,0,,CLOTdT-CLO_CLOTdT-CLO
CLOTdT-CLO,FULLW,CLO-CLOTdT,Cali Terminal de Transporte,1,,CLO-CLOTdT_CLOTdT-CLO
CLOTdT-PAL,FULLW,CLOTdT-PAL,Palmira,0,,CLOTdT-PAL_CLOTdT-PAL
CLOTdT-PAL,FULLW,PAL-CLOTdT,Cali Terminal de Transporte,0,,PAL-CLOTdT_CLOTdT-PAL
CLOTdT-TdT-Buga,FULLW,CLOTdT-TdT-Buga,Buga Terminal,0,,CLOTdT-TdT-Buga_CLOTdT-TdT-Buga
CLOTdT-TdT-Buga,FULLW,TdT-Buga-CLOTdT,Cali Terminal de Transporte,1,,TdT-Buga-CLOTdT_CLOTdT-TdT-Buga
CLOTdT-TdT-Popayan,FULLW,CLOTdT-TdT-Popayan,Popayan - Mettro,0,,CLOTdT-TdT-Popayan_CLOTdT-TdT-Popayan
CLOTdT-TdT-Popayan,FULLW,TdT-Popayan-CLOTdT,Cali - Metro,1,,TdT-Popayan-CLOTdT_CLOTdT-TdT-Popayan
CLOTdT-TdT-Tulua,FULLW,CLOTdT-TdT-Tulua,Tulua Terminal,0,,CLOTdT-TdT-Tulua_CLOTdT-TdT-Tulua
CLOTdT-TdT-Tulua,FULLW,TdT-Tulua-CLOTdT,Cali Terminal de Transporte,1,,TdT-Tulua-CLOTdT_CLOTdT-TdT-Tulua
CLOTdT-TdT-Armenia,FULLW,CLOTdT-TdT-Armenia,Armenia Terminal,0,,CLOTdT-TdT-Armenia_CLOTdT-TdT-Armenia
CLOTdT-TdT-Armenia,FULLW,TdT-Armenia-CLOTdT,Cali Terminal de Transporte,1,,TdT-Armenia-CLOTdT_CLOTdT-TdT-Armenia
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26-500,Bogotá S26,0,,CLOTdT-BOG-S26-500_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26-630,Bogotá S26,0,,CLOTdT-BOG-S26-630_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26-930,Bogotá S26,0,,CLOTdT-BOG-S26-930_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26-1030,Bogotá S26,0,,CLOTdT-BOG-S26-1030_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26-1230,Bogotá S26,0,,CLOTdT-BOG-S26-1230_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26-1330,Bogotá S26,0,,CLOTdT-BOG-S26-1330_CLOTdT-BOG
CLOTdT-TdT-Ibaque,FULLW,CLOTdT-TdT-Ibaque-S26,Ibaque - S26,0,,CLOTdT-TdT-Ibaque-S26_CLOTdT-TdT-Ibaque
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26M-1830,Bogotá S26 Maxxi,0,,CLOTdT-BOG-S26M-1830_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26M-1930,Bogotá S26 Maxxi,0,,CLOTdT-BOG-S26M-1930_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26M-2015,Bogotá S26 Maxxi,0,,CLOTdT-BOG-S26M-2015_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26M-2315,Bogotá S26 Maxxi,0,,CLOTdT-BOG-S26M-2315_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26MD-2100,Bogotá S26 Maxxi dupplo,0,,CLOTdT-BOG-S26MD-2100_CLOTdT-BOG
CLOTdT-BOG,FULLW,CLOTdT-BOG-S26MD-2215,Bogotá S26 Maxxi dupplo,0,,CLOTdT-BOG-S26MD-2215_CLOTdT-BOG
