trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
MM-L-ARVI-WEEK,09:00:00,09:00:00,MM-DOML,0,,,,
MM-L-ARVI-WEEK,09:15:00,09:15:00,MM-ARV,1,,,,
MM-L-SDOMINGO-WEEK,09:00:00,09:00:00,MM-ARV,0,,,,
MM-L-SDOMINGO-WEEK,09:15:00,09:15:00,MM-DOML,1,,,,
MM-L-ARVI-SATERDAY,09:00:00,09:00:00,MM-DOML,0,,,,
MM-L-ARVI-SATERDAY,09:15:00,09:15:00,MM-ARV,1,,,,
MM-L-SDOMINGO-SATERDAY,09:00:00,09:00:00,MM-ARV,0,,,,
MM-L-SDOMINGO-SATERDAY,09:15:00,09:15:00,MM-DOML,1,,,,
MM-L-ARVI-SUNDAY,08:30:00,08:30:00,MM-DOML,0,,,,
MM-L-ARVI-SUNDAY,08:45:00,08:45:00,MM-ARV,1,,,,
MM-L-SDOMINGO-SUNDAY,08:30:00,08:30:00,MM-ARV,0,,,,
MM-L-SDOMINGO-SUNDAY,08:45:00,08:45:00,MM-DOML,1,,,,
MM-K-SDOMINGO-WEEK,04:15:00,04:15:00,MM-ACEK,0,,,,
MM-K-SDOMINGO-WEEK,04:18:00,04:18:00,MM-AND,1,,,,
MM-K-SDOMINGO-WEEK,04:21:00,04:21:00,MM-POP,2,,,,
MM-K-SDOMINGO-WEEK,04:26:00,04:26:00,MM-DOMK,3,,,,
MM-K-ACEVEDO-WEEK,04:15:00,04:15:00,MM-DOMK,0,,,,
MM-K-ACEVEDO-WEEK,04:20:00,04:20:00,MM-POP,1,,,,
MM-K-ACEVEDO-WEEK,04:23:00,04:23:00,MM-AND,2,,,,
MM-K-ACEVEDO-WEEK,04:26:00,04:26:00,MM-ACEK,3,,,,
MM-K-SDOMINGO-SATERDAY,04:15:00,04:15:00,MM-ACEK,0,,,,
MM-K-SDOMINGO-SATERDAY,04:18:00,04:18:00,MM-AND,1,,,,
MM-K-SDOMINGO-SATERDAY,04:21:00,04:21:00,MM-POP,2,,,,
MM-K-SDOMINGO-SATERDAY,04:26:00,04:26:00,MM-DOMK,3,,,,
MM-K-ACEVEDO-SATERDAY,04:15:00,04:15:00,MM-DOMK,0,,,,
MM-K-ACEVEDO-SATERDAY,04:20:00,04:20:00,MM-POP,1,,,,
MM-K-ACEVEDO-SATERDAY,04:23:00,04:23:00,MM-AND,2,,,,
MM-K-ACEVEDO-SATERDAY,04:26:00,04:26:00,MM-ACEK,3,,,,
MM-K-SDOMINGO-SUNDAY,08:30:00,08:30:00,MM-ACEK,0,,,,
MM-K-SDOMINGO-SUNDAY,08:33:00,08:33:00,MM-AND,1,,,,
MM-K-SDOMINGO-SUNDAY,08:36:00,08:36:00,MM-POP,2,,,,
MM-K-SDOMINGO-SUNDAY,08:41:00,08:41:00,MM-DOMK,3,,,,
MM-K-ACEVEDO-SUNDAY,08:30:00,08:30:00,MM-DOMK,0,,,,
MM-K-ACEVEDO-SUNDAY,08:35:00,08:35:00,MM-POP,1,,,,
MM-K-ACEVEDO-SUNDAY,08:38:00,08:38:00,MM-AND,2,,,,
MM-K-ACEVEDO-SUNDAY,08:41:00,08:41:00,MM-ACEK,3,,,,
MM-J-SJAVIER-WEEK,04:30:00,04:30:00,MM-AUR,0,,,,
MM-J-SJAVIER-WEEK,04:35:00,04:35:00,MM-VAL,1,,,,
MM-J-SJAVIER-WEEK,04:42:00,04:42:00,MM-JUA,2,,,,
MM-J-SJAVIER-WEEK,04:49:00,04:49:00,MM-JAVJ,3,,,,
MM-J-SJAVIER-SATERDAY,04:30:00,04:30:00,MM-AUR,0,,,,
MM-J-SJAVIER-SATERDAY,04:35:00,04:35:00,MM-VAL,1,,,,
MM-J-SJAVIER-SATERDAY,04:42:00,04:42:00,MM-JUA,2,,,,
MM-J-SJAVIER-SATERDAY,04:49:00,04:49:00,MM-JAVJ,3,,,,
MM-J-SJAVIER-SUNDAY,09:00:00,09:00:00,MM-AUR,0,,,,
MM-J-SJAVIER-SUNDAY,09:05:00,09:05:00,MM-VAL,1,,,,
MM-J-SJAVIER-SUNDAY,09:12:00,09:12:00,MM-JUA,2,,,,
