stop_lon,stop_name,stop_lat,stop_id,location_type,parent_station
-75.5029349,Arvi,6.2815282,MM-ARV,0,
-75.5416055,Santo Domingo,6.2931281,MM-DOM,1,
-75.5418976,Santo Domingo L,6.2927382,MM-DOML,0,MM-DOM
-75.5417161,Santo Domingo K,6.2931561,MM-DOMK,0,MM-DOM
-75.5481528,Popular,6.2951252,MM-POP,0,
-75.5519273,Andalucía,6.2961843,MM-AND,0,
-75.5584557,Acevedo,6.3000381,MM-ACE,1,
-75.5582703,Acevedo K,6.3002487,MM-ACEK,0,
-75.5286393,Villa Sierra,6.2349890,MM-VIS,0,
-75.5362810,Las Torres,6.2365455,MM-TOR,0,
-75.5399993,Oriente H,6.2331952,MM-ORIH,0,MM-ORI
-75.6137474,San Javier,6.2569253,MM-JAV,1,
-75.6134067,San Javier J,6.2567940,MM-JAVJ,0,MM-JAV
-75.6136890,Juan XXIII,6.2656916,MM-JUA,0,
-75.6140194,Vallejuelos,6.27538134,MM-VAL,0,
-75.6142055,La Aurora,6.2810999,MM-AUR,0,
-75.6137835,San Javier B,6.2568632,MM-JAVB,0,MM-JAV
-75.6037672,Santa Lucía,6.2580563,MM-LUC,0,
-75.5977003,Floresta,6.2586974,MM-FLO,0,
-75.5882362,Estadio,6.2533236,MM-EST,0,
-75.5830185,Suramericana,6.2530045,MM-SAM,0,
-75.5751386,Cisneros,6.2490401,MM-CIS,1,
-75.5751073,Cisneros B,6.2490053,MM-CISB,0,MM-CIS
-75.5696485,San Antonio,6.2472510,MM-SAB,1,
-75.5696776,San Antonio B,6.2471523,MM-SABB,0,MM-SAB
-75.5691288,San Antonio T-A,6.2470002,MM-SABTA,0,MM-SAB
-75.5443275502,Niquía,6.33787555033,MM-NIQ,0,
-75.5537508003,Bello,6.32988535009,MM-BEO,0,
-75.55534265,Madera,6.31602855,MM-MAD,0,
-75.5585309503,Acevedo A,6.29985705006,MM-ACEA,0,MM-ACE
-75.5647278504,Tricentenario,6.29031090016,MM-TRI,0,
-75.5693676502,Caribe,6.27828075002,MM-CAR,0,
-75.5657671998,Universidad,6.26933340025,MM-UNI,0,
-75.5632983,Hospital,6.2639132,MM-HOS,1,
-75.5634398336,Hospital A,6.26367706672,MM-HOSA,0,MM-HOS
-75.56598,Prado,6.25707,MM-PRA,1,
-75.5660521002,Prado A,6.25679205005,MM-PRAA,0,MM-PRA
-75.5682830503,Parque Berrío,6.25053770007,MM-BER,0,
-75.5696949998,San Antonio A,6.24707300023,MM-SAAA,0,MM-SAB
-75.5713617503,Alpujarra,6.24291940007,MM-ALP,0,
