route_id,trip_id,service_id,shape_id,trip_headsign,direction_id
MM-L,MM-L-SDOMINGO-WEEK,WEEK,,Santo Domingo,1
MM-L,MM-L-ARVI-WEEK,WEEK,,Arví,0
MM-L,MM-L-SDOMINGO-SATERDAY,SATERDAY,,Santo Domingo,1
MM-L,MM-L-ARVI-SATERDAY,SATERDAY,,Arví,0
MM-L,MM-L-SDOMINGO-SUNDAY,SUNDAY,,Santo Domingo,1
MM-L,MM-L-ARVI-SUNDAY,SUNDAY,,Arví,0
MM-K,MM-K-SDOMINGO-WEEK,WEEK,,Santo Domingo,1
MM-K,MM-K-ACEVEDO-WEEK,WEEK,,Acevedo,0
MM-K,MM-K-SDOMINGO-SATERDAY,SATERDAY,,Santo Domingo,1
MM-K,MM-K-ACEVEDO-SATERDAY,SATERDAY,,Acevedo,0
MM-K,MM-K-SDOMINGO-SUNDAY,SUNDAY,,Santo Domingo,1
MM-K,MM-K-ACEVEDO-SUNDAY,SUNDAY,,Acevedo,0
MM-J,MM-J-SJAVIER-WEEK,WEEK,,San Javier,0
MM-J,MM-J-LAURORA-WEEK,WEEK,,La Aurora,1
MM-J,MM-J-SJAVIER-SATERDAY,SATERDAY,,San Javier,0
MM-J,MM-J-LAURORA-SATERDAY,SATERDAY,,La Aurora,1
MM-J,MM-J-SJAVIER-SUNDAY,SUNDAY,,San Javier,0
MM-J,MM-J-LAURORA-SUNDAY,SUNDAY,,La Aurora,1
MM-H,MM-H-ORIENTE-WEEK,WEEK,,Oriente,1
MM-H,MM-H-VSIERRA-WEEK,WEEK,,Villa Sierra,0
MM-H,MM-H-ORIENTE-SATERDAY,SATERDAY,,Oriente,1
MM-H,MM-H-VSIERRA-SATERDAY,SATERDAY,,Villa Sierra,0
MM-H,MM-H-ORIENTE-SUNDAY,SUNDAY,,Oriente,1
MM-H,MM-H-VSIERRA-SUNDAY,SUNDAY,,Villa Sierra,0
MM-B,MM-B-SANTONIO-WEEK,WEEK,,San Antonio,1
MM-B,MM-B-SJAVIER-WEEK,WEEK,,San Javier,0
MM-B,MM-B-SANTONIO-SATERDAY,SATERDAY,,San Antonio,1
MM-B,MM-B-SJAVIER-SATERDAY,SATERDAY,,San Javier,0
MM-B,MM-B-SANTONIO-SUNDAY,SUNDAY,,San Antonio,1
MM-B,MM-B-SJAVIER-SUNDAY,SUNDAY,,San Javier,0
MM-A,MM-A-NIQUIA-WEEK,WEEK,MM-A-NIQUIA,Niquía,1
MM-A,MM-A-LESTRELLA-WEEK,WEEK,MM-A-LESTRELLA,La Estrella,0
MM-A,MM-A-NIQUIA-SATERDAY,SATERDAY,MM-A-NIQUIA,Niquía,1
MM-A,MM-A-LESTRELLA-SATERDAY,SATERDAY,MM-A-LESTRELLA,La Estrella,0
MM-A,MM-A-NIQUIA-SUNDAY,SUNDAY,MM-A-NIQUIA,Niquía,1
MM-A,MM-A-LESTRELLA-SUNDAY,SUNDAY,MM-A-LESTRELLA,La Estrella,0
MM-T-A,MM-T-A-ORIENTE-WEEK,WEEK,MM-T-A-ORIENTE,Oriente,0
MM-T-A,MM-T-A-SANTONIO-WEEK,WEEK,MM-T-A-SANTONIO,San Antonio,1
MM-T-A,MM-T-A-ORIENTE-SATERDAY,SATERDAY,MM-T-A-ORIENTE,Oriente,0
MM-T-A,MM-T-A-SANTONIO-SATERDAY,SATERDAY,MM-T-A-SANTONIO,San Antonio,1
MM-T-A,MM-T-A-ORIENTE-SUNDAY,SUNDAY,MM-T-A-ORIENTE,Oriente,0
MM-T-A,MM-T-A-SANTONIO-SUNDAY,SUNDAY,MM-T-A-SANTONIO,San Antonio,1
MM-1,MM-1-PARANJUEZ-WEEK,WEEK,MM-1-PARANJUEZ,Parque de Aranjuez,0
MM-1,MM-1-UMEDELLIN-WEEK,WEEK,MM-1-UMEDELLIN,Universidad de Medellín,1
MM-1,MM-1-PARANJUEZ-SATERDAY,SATERDAY,MM-1-PARANJUEZ,Parque de Aranjuez,0
MM-1,MM-1-UMEDELLIN-SATERDAY,SATERDAY,MM-1-UMEDELLIN,Universidad de Medellín,1
MM-1,MM-1-PARANJUEZ-SUNDAY,SUNDAY,MM-1-PARANJUEZ,Parque de Aranjuez,0
MM-1,MM-1-UMEDELLIN-SUNDAY,SUNDAY,MM-1-UMEDELLIN,Universidad de Medellín,1
MM-2,MM-2-PARANJUEZ-WEEK,WEEK,MM-2-PARANJUEZ,Parque de Aranjuez,0
MM-2,MM-2-UMEDELLIN-WEEK,WEEK,MM-2-UMEDELLIN,Universidad de Medellín,1
MM-2,MM-2-PARANJUEZ-SATERDAY,SATERDAY,MM-2-PARANJUEZ,Parque de Aranjuez,0
MM-2,MM-2-UMEDELLIN-SATERDAY,SATERDAY,MM-2-UMEDELLIN,Universidad de Medellín,1
MM-2,MM-2-PARANJUEZ-SUNDAY,SUNDAY,MM-2-PARANJUEZ,Parque de Aranjuez,0
MM-2,MM-2-UMEDELLIN-SUNDAY,SUNDAY,MM-2-UMEDELLIN,Universidad de Medellín,1
