trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
MTRTdT-MTR,07:29:00,07:29:00,MTR-BUS-140,0,,,,
MTRTdT-MTR,,,MTR-BUS-096,1,,,,
MTRTdT-MTR,,,MTR-BUS-085,2,,,,
MTRTdT-MTR,,,MTR-BUS-086,3,,,,
MTRTdT-MTR,,,MTR-BUS-092,4,,,,
MTRTdT-MTR,,,MTR-BUS-037,5,,,,
MTRTdT-MTR,,,MTR-BUS-039,6,,,,
MTRTdT-MTR,,,MTR-BUS-220,7,,,,
MTRTdT-MTR,,,MTR-BUS-253,8,,,,
MTRTdT-MTR,,,MTR-BUS-411,9,,,,
MTRTdT-MTR,07:57:00,07:57:00,MTR-BUS-286,10,,,,
MTRTdT-MTR,,,MTR-BUS-296,11,,,,
MTRTdT-MTR,,,MTR-BUS-174,12,,,,
MTRTdT-MTR,,,MTR-BUS-170,13,,,,
MTRTdT-MTR,,,MTR-BUS-171,14,,,,
MTRTdT-MTR,,,MTR-BUS-173,15,,,,
MTRTdT-MTR,,,MTR-BUS-176,16,,,,
MTRTdT-MTR,,,MTR-BUS-178,17,,,,
MTRTdT-MTR,,,MTR-BUS-179,18,,,,
MTRTdT-MTR,,,MTR-BUS-185,19,,,,
MTRTdT-MTR,,,MTR-BUS-188,20,,,,
MTRTdT-MTR,,,MTR-BUS-185,21,,,,
MTRTdT-MTR,,,MTR-BUS-406,22,,,,
MTRTdT-MTR,,,MTR-BUS-402,23,,,,
MTRTdT-MTR,,,MTR-BUS-401,24,,,,
MTRTdT-MTR,,,MTR-BUS-197,25,,,,
MTRTdT-MTR,,,MTR-BUS-205,26,,,,
MTRTdT-MTR,,,MTR-BUS-197,27,,,,
MTRTdT-MTR,08:08:00,08:08:00,MTR-BUS-192,28,,,,
MTRTdT-MTR,,,MTR-BUS-012,29,,,,
MTRTdT-MTR,,,MTR-BUS-005,30,,,,
MTRTdT-MTR,,,MTR-BUS-001,31,,,,
MTRTdT-MTR,08:17:00,08:17:00,MTR-BUS-432,32,,,,
MTR-MTRTdT,08:18:00,08:18:00,MTR-BUS-016,0,,,,
MTR-MTRTdT,,,MTR-BUS-019,1,,,,
MTR-MTRTdT,,,MTR-BUS-017,2,,,,
MTR-MTRTdT,,,MTR-BUS-002,3,,,,
MTR-MTRTdT,,,MTR-BUS-006,4,,,,
MTR-MTRTdT,,,MTR-BUS-011,5,,,,
MTR-MTRTdT,08:38:00,08:38:00,MTR-BUS-194,6,,,,
MTR-MTRTdT,,,MTR-BUS-198,7,,,,
MTR-MTRTdT,,,MTR-BUS-204,8,,,,
MTR-MTRTdT,,,MTR-BUS-405,9,,,,
MTR-MTRTdT,,,MTR-BUS-403,10,,,,
MTR-MTRTdT,,,MTR-BUS-404,11,,,,
MTR-MTRTdT,,,MTR-BUS-408,12,,,,
MTR-MTRTdT,,,MTR-BUS-407,13,,,,
MTR-MTRTdT,,,MTR-BUS-184,14,,,,
MTR-MTRTdT,,,MTR-BUS-175,15,,,,
MTR-MTRTdT,,,MTR-BUS-172,16,,,,
MTR-MTRTdT,,,MTR-BUS-177,17,,,,
MTR-MTRTdT,,,MTR-BUS-180,18,,,,
MTR-MTRTdT,,,MTR-BUS-299,19,,,,
MTR-MTRTdT,,,MTR-BUS-287,20,,,,
MTR-MTRTdT,,,MTR-BUS-285,21,,,,
MTR-MTRTdT,,,MTR-BUS-292,22,,,,
MTR-MTRTdT,,,MTR-BUS-218,23,,,,
MTR-MTRTdT,,,MTR-BUS-212,24,,,,
MTR-MTRTdT,,,MTR-BUS-040,25,,,,
MTR-MTRTdT,,,MTR-BUS-035,26,,,,
MTR-MTRTdT,,,MTR-BUS-028,27,,,,
MTR-MTRTdT,08:58:00,08:58:00,MTR-BUS-023,28,,,,
MTR-MTRTdT,,,MTR-BUS-036,29,,,,
MTR-MTRTdT,,,MTR-BUS-142,30,,,,
MTR-MTRTdT,,,MTR-BUS-091,31,,,,
MTR-MTRTdT,,,MTR-BUS-083,32,,,,
MTR-MTRTdT,09:04:00,09:04:00,MTR-BUS-140,33,,,,
UPB-D1,7:43:00,7:43:00,MTR-BUS-194,0,,,,
UPB-D1,,,MTR-BUS-198,1,,,,
UPB-D1,,,MTR-BUS-204,2,,,,
UPB-D1,,,MTR-BUS-405,3,,,,
UPB-D1,,,MTR-BUS-403,4,,,,
UPB-D1,,,MTR-BUS-404,5,,,,
UPB-D1,,,MTR-BUS-408,6,,,,
UPB-D1,,,MTR-BUS-407,7,,,,
UPB-D1,,,MTR-BUS-184,8,,,,
UPB-D1,,,MTR-BUS-175,9,,,,
UPB-D1,,,MTR-BUS-172,10,,,,
UPB-D1,,,MTR-BUS-177,11,,,,
UPB-D1,,,MTR-BUS-180,12,,,,
UPB-D1,,,MTR-BUS-299,13,,,,
UPB-D1,,,MTR-BUS-287,14,,,,
